Unnamed: 0,Drug1_ID,Drug2_ID,Label,y_preds_6,y_preds_8,y_preds_10,p_ave
82,4964,4126,0,6.14E-07,2.68E-05,4.91E-06,1.08E-05
83,8916,7198,0,1.80E-07,5.51E-06,2.19E-06,2.63E-06
84,DB00748,DB01409,1,0.99926984,0.99469864,0.99979407,0.99792085
85,DB00314,DB00684,1,0.9992771,0.99040484,0.92209804,0.970593327
86,9383,5876,0,2.01E-05,0.61433196,0.1556865,0.25667952
87,DB00648,DB06589,1,0.9990728,0.9997382,0.9995922,0.999467733
88,DB01142,DB09072,1,0.99992466,0.9992652,0.9995984,0.999596087
89,DB00935,DB00945,1,0.9976039,0.9874244,0.9706571,0.985228467
90,3489,2780,0,9.39E-06,8.40E-07,1.47E-05,8.31E-06
91,3041,8948,0,8.43E-05,0.08122307,1.12E-05,0.02710619
92,6195,3567,0,5.05E-06,3.51E-06,6.92E-06,5.16E-06
93,DB00279,DB00304,1,0.99178505,0.9961653,0.98674464,0.991564997
94,DB00571,DB00975,1,0.99862474,0.99625456,0.9983458,0.9977417
95,1955,4762,0,7.65E-05,0.001185119,0.030432224,0.010564614
96,DB00972,DB00985,1,0.9998877,0.9999115,0.9991868,0.999662
97,DB00523,DB00563,1,0.98606086,0.6211448,0.9968365,0.868014053
98,5735,5846,0,1.26E-07,0.000561923,0.000154436,0.000238828
99,7771,8555,0,2.75E-06,9.36E-06,1.12E-05,7.77E-06
100,5157,331,0,4.84E-07,2.47E-07,1.95E-06,8.94E-07
101,DB00486,DB08883,1,0.999951,0.99936795,0.9984554,0.999258117
102,DB00264,DB01115,1,0.99660915,0.9996395,0.99947643,0.998575027
103,7487,5100,0,9.69E-07,3.98E-05,6.48E-06,1.57E-05
104,DB00391,DB00420,1,0.999611,0.99834645,0.99957514,0.99917753
105,5374,677,0,4.11E-07,1.11E-07,2.67E-07,2.63E-07
106,DB00997,DB01601,1,0.9757581,0.87311137,0.9439483,0.930939257
107,6305,3507,0,2.62E-05,0.000823975,0.01248309,0.004444422
108,1927,2100,0,0.000578284,0.000103667,0.00040099,0.00036098
109,4312,5746,0,1.79E-05,0.008513033,4.01E-05,0.002857011
110,DB00762,DB01589,1,0.9612922,0.99873936,0.99632895,0.985453503
111,DB01026,DB09101,1,0.9990208,0.998618,0.95674646,0.984795087
112,DB00391,DB01242,1,0.9998294,0.9988545,0.9999125,0.999532133
113,4939,1016,0,0.000256211,8.64E-05,0.000371993,0.000238201
114,233,9532,0,0.9730811,0.9966749,0.9546489,0.974801633
115,7948,4651,0,0.022385925,0.00930059,0.13539153,0.055692682
116,DB00765,DB01236,1,0.97705936,0.99796176,0.98116094,0.98539402
117,DB00794,DB00964,1,0.9914829,0.99985135,0.9925246,0.994619617
118,910,8522,0,2.82E-07,9.86E-07,0.000118441,3.99E-05
119,6436,1282,0,4.11E-07,1.14E-07,4.67E-07,3.31E-07
120,759,3368,0,0.01283136,0.49827284,0.01041171,0.173838637
121,DB00956,DB01267,1,0.9997012,0.9995836,0.9989367,0.999407167
122,DB00758,DB01244,1,0.99994206,0.9992361,0.9998082,0.99966212
123,DB00211,DB00486,1,0.9996413,0.99612594,0.9994682,0.998411813
124,4010,6894,0,1.71E-06,5.22E-06,3.18E-06,3.37E-06
125,1209,3518,0,0.042782605,0.07276717,0.000846207,0.038798661
126,213,2792,0,6.43E-07,1.08E-07,3.06E-07,3.52E-07
127,DB00343,DB09054,1,0.99986196,0.9969656,0.9996941,0.998840553
128,8846,5188,0,5.27E-07,2.99E-07,2.38E-06,1.07E-06
129,5798,8299,0,1.73E-05,0.000416487,0.000105745,0.000179844
130,6799,5404,0,1.45E-05,3.31E-05,6.19E-05,3.65E-05
131,DB00187,DB01210,1,0.9952029,0.9986739,0.93522775,0.976368183
132,2802,2664,0,2.03E-05,2.99E-06,6.93E-06,1.01E-05
133,7018,6780,0,1.02E-05,5.95E-07,5.38E-05,2.15E-05
134,4200,533,0,0.01633045,0.9944426,0.8218678,0.610880283
135,9067,9532,0,1.99E-06,0.9258635,8.59E-06,0.308624693
136,6533,4464,0,3.91E-07,8.69E-08,3.11E-06,1.20E-06
137,205,5000,0,4.50E-07,7.39E-05,0.013407707,0.004494019
138,9646,993,0,0.033832908,5.93E-05,0.000441164,0.011444457
139,7420,9135,0,0.000195026,0.2738394,0.42117286,0.231735762
140,7124,9381,0,5.37E-07,1.75E-07,3.49E-07,3.54E-07
141,1436,9070,0,6.79E-07,4.21E-06,1.84E-06,2.24E-06
142,8401,3079,0,0.000292927,1.71E-05,0.000231951,0.000180659
143,DB00470,DB01211,1,0.9998332,0.9993355,0.99947596,0.99954822
144,DB00537,DB04951,1,0.87246275,0.59606016,0.57437664,0.680966517
145,DB00391,DB00765,1,0.9871296,0.9994058,0.99695814,0.994497847
146,DB00474,DB00703,1,0.9980831,0.9925591,0.9969519,0.9958647
147,9428,513,0,0.011252731,0.94331676,0.14330688,0.36595879
148,8425,2013,0,0.000759244,0.7766383,0.08795968,0.288452408
149,4695,2149,0,9.05E-07,1.30E-06,0.00021565,7.26E-05
150,DB00495,DB00613,1,0.9456177,0.9549532,0.89003456,0.93020182
151,DB00413,DB00494,1,0.99815166,0.9972259,0.9922498,0.995875787
152,9510,2201,0,8.18E-07,1.60E-06,1.06E-05,4.34E-06
153,DB00648,DB09291,1,0.99990225,0.9974377,0.9988035,0.998714483
154,7849,6343,0,6.24E-06,5.48E-07,3.84E-06,3.54E-06
155,8760,7490,0,8.36E-07,1.29E-06,1.59E-06,1.24E-06
156,6801,3985,0,0.000111122,2.50E-07,7.66E-06,3.97E-05
157,5428,2037,0,9.05E-07,3.56E-05,3.06E-06,1.32E-05
158,3167,7905,0,0.49630526,0.9360712,0.05094689,0.494441117
159,496,1722,0,7.06E-07,8.12E-06,1.01E-05,6.31E-06
160,DB01120,DB01238,1,0.99903905,0.99978197,0.9995295,0.999450173
161,5547,7024,0,2.77E-07,1.59E-06,3.31E-06,1.73E-06
162,3636,2815,0,5.22E-06,0.001565486,4.56E-06,0.000525089
163,5458,6684,0,1.83E-05,6.52E-07,4.85E-05,2.25E-05
164,7022,4144,0,2.02E-06,0.018499225,0.000859678,0.006453641
165,5079,164,0,0.97651184,0.9743792,0.96470666,0.9718659
166,DB00241,DB00983,1,0.985602,0.99950373,0.99328506,0.99279693
167,8022,9238,0,0.000242651,6.11E-06,0.000218004,0.000155588
168,DB01234,DB09074,1,0.73673195,0.9938432,0.9160842,0.882219783
169,DB00794,DB00960,1,0.99846125,0.9984577,0.96543837,0.98745244
170,DB01331,DB03615,1,0.99992746,0.9999622,0.99995995,0.99994987
171,DB00321,DB00816,1,0.9974601,0.9984591,0.9872088,0.994376
172,DB00612,DB00673,1,0.9993044,0.9988048,0.99024487,0.996118023
173,DB01037,DB04884,1,0.9984237,0.9994711,0.99823296,0.998709253
174,1486,8990,0,0.000174254,0.001177371,0.000182241,0.000511289
175,DB00337,DB00343,1,0.9992374,0.99680865,0.99903333,0.998359793
176,DB01259,DB08873,1,0.9960086,0.9987949,0.9994327,0.998078733
177,6155,6480,0,2.93E-07,1.38E-07,8.25E-07,4.19E-07
178,DB00230,DB06148,1,0.9973515,0.95768553,0.9422986,0.965778543
179,2524,601,0,0.001523435,0.45753852,0.08910984,0.182723932
180,DB00250,DB01174,1,0.9980562,0.9980052,0.9974755,0.997845633
181,DB00337,DB00755,1,0.99197865,0.99301076,0.99821794,0.99440245
182,DB00269,DB00932,1,0.99519175,0.99701554,0.9885889,0.99359873
183,3963,8950,0,0.063982785,0.27001637,0.000346094,0.111448416
184,DB00423,DB06204,1,0.9998584,0.99874353,0.9839311,0.994177677
185,9567,5368,0,1.98E-07,8.47E-07,1.71E-06,9.18E-07
186,DB01098,DB09291,1,0.991302,0.9986152,0.9697288,0.986548667
187,DB00181,DB09071,1,0.99988425,0.9662854,0.5893189,0.851829517
188,DB00470,DB01620,1,0.99972117,0.9993075,0.99907196,0.999366877
189,DB00104,DB00757,1,0.943827,0.95639974,0.94031525,0.94684733
190,DB00530,DB02703,1,0.99122,0.97666425,0.9947609,0.987548383
191,5337,6584,0,1.28E-05,0.000166237,1.01E-05,6.30E-05
192,5820,6644,0,0.001023084,0.9966806,0.8309018,0.609535161
193,DB00216,DB01254,1,0.99798864,0.9994808,0.9990481,0.99883918
194,DB00214,DB09082,1,0.9840281,0.9958588,0.99396926,0.991285387
195,82,2461,0,2.08E-05,2.86E-06,4.43E-05,2.27E-05
196,DB00414,DB00627,1,0.9635218,0.9941875,0.8287775,0.928828933
197,9586,9543,0,0.00033465,4.82E-06,0.2161985,0.072179323
198,2125,9177,0,1.43E-05,0.000177115,4.95E-05,8.03E-05
199,DB00675,DB08820,1,0.9972676,0.99650383,0.9996612,0.997810877
200,6480,5867,0,2.27E-07,1.82E-07,7.23E-06,2.55E-06
201,1871,1113,0,1.11E-06,2.37E-07,1.11E-06,8.19E-07
202,DB00401,DB09073,1,0.99101627,0.9997266,0.9993454,0.99669609
203,DB00557,DB01409,1,0.99983406,0.9987742,0.9992615,0.99928992
204,DB01151,DB09076,1,0.99978304,0.9969598,0.9997037,0.998815513
205,DB01104,DB01418,1,0.9935311,0.9953084,0.9939016,0.994247033
206,DB00961,DB01136,1,0.9836501,0.99843466,0.99936986,0.993818207
207,DB00875,DB00924,1,0.9999702,0.999265,0.99985087,0.999695357
208,DB00136,DB00559,1,0.99886477,0.99870896,0.99972844,0.999100723
209,DB00502,DB08897,1,0.9981419,0.9986737,0.9998685,0.9988947
210,DB00927,DB08912,1,0.9967699,0.99874175,0.99686736,0.99745967
211,9250,73,0,0.38243347,0.79751027,0.12501493,0.434986223
212,DB06290,DB09065,1,0.99924576,0.99982643,0.99961555,0.99956258
213,DB00673,DB00862,1,0.9992115,0.9933964,0.9926982,0.995102033
214,6009,2326,0,1.83E-05,0.00072822,0.000159919,0.000302146
215,DB01054,DB01201,1,0.99948096,0.99964356,0.9994594,0.999527973
216,DB04855,DB08899,1,0.99883217,0.9998076,0.9990922,0.99924399
217,DB00567,DB01418,1,0.99567735,0.999892,0.9989855,0.99818495
218,1262,4532,0,0.002218723,0.99435174,0.8870065,0.627858988
219,6842,3982,0,0.54435396,3.15E-06,0.42322534,0.322527483
220,9433,6363,0,6.74E-07,0.000289053,3.97E-05,0.000109809
221,DB00295,DB01081,1,0.9934295,0.78056955,0.935938,0.90331235
222,591,4033,0,3.27E-05,0.00364244,0.00056985,0.001414997
223,5149,9002,0,2.63E-07,3.43E-06,1.17E-05,5.13E-06
224,3922,6363,0,4.72E-06,2.41E-05,0.002437204,0.000822008
225,2736,3171,0,0.05154273,0.001127154,0.070225984,0.040965289
226,2699,6093,0,1.27E-06,1.10E-06,6.15E-07,9.95E-07
227,DB00997,DB01156,1,0.85376346,0.9878117,0.9960747,0.945883287
228,9205,8028,0,0.17882514,0.025240004,0.4496906,0.217918581
229,3283,9282,0,0.000131488,0.27336973,0.07624704,0.116582753
230,DB00860,DB01072,1,0.9997553,0.99948704,0.99913085,0.99945773
231,DB00316,DB01407,1,0.8591871,0.9322822,0.9484083,0.913292533
232,DB01168,DB04884,1,0.99997014,0.99933356,0.9999136,0.9997391
233,DB00921,DB01189,1,0.9992496,0.9994117,0.9657127,0.988124667
234,855,5243,0,3.90E-05,0.00105083,0.021935135,0.007674988
235,DB01263,DB06636,1,0.99958557,0.99910843,0.9995272,0.999407067
236,DB00360,DB00563,1,0.06436393,0.15933126,0.8281772,0.35062413
237,3403,9241,0,0.000113618,0.25219432,0.0737648,0.108690913
238,8312,5152,0,2.35E-05,3.15E-06,6.96E-07,9.12E-06
239,9180,8748,0,0.051885366,0.029313862,0.05794272,0.046380649
240,DB00395,DB00425,1,0.99884295,0.9185978,0.91927177,0.94557084
241,DB04835,DB09065,1,0.9992554,0.99950516,0.9992999,0.999353487
242,2264,2052,0,0.98152554,0.99776363,0.9881328,0.989140657
243,6423,2417,0,3.51E-06,3.24E-06,1.53E-06,2.76E-06
244,DB00475,DB00651,1,0.98186415,0.9957596,0.97607845,0.9845674
245,8770,8767,0,6.98E-07,7.07E-05,6.68E-07,2.40E-05
246,DB00465,DB01600,1,0.999897,0.99368984,0.99946094,0.997682593
247,DB01601,DB08907,1,0.9997617,0.8895426,0.99683374,0.962046013
248,824,5793,0,3.66E-06,1.81E-07,1.41E-06,1.75E-06
249,5859,5400,0,1.03E-05,3.91E-05,4.69E-06,1.80E-05
250,DB00104,DB01136,1,0.9991927,0.9987694,0.9985728,0.998844967
251,DB00675,DB01232,1,0.9999505,0.99970955,0.99965465,0.999771567
252,DB00243,DB06207,1,0.99943876,0.9962089,0.99872583,0.998124497
253,9423,3445,0,1.71E-06,3.96E-05,5.27E-06,1.55E-05
254,DB00404,DB06204,1,0.99973863,0.9983839,0.942662,0.98026151
255,DB01238,DB06414,1,0.99974036,0.9998852,0.9998883,0.999837953
256,DB00206,DB00543,1,0.99562085,0.99902177,0.99975365,0.99813209
257,DB00648,DB00912,1,0.9997084,0.9991417,0.9994342,0.9994281
258,6761,4621,0,2.17E-07,6.58E-07,3.79E-07,4.18E-07
259,91,7318,0,2.48E-07,6.78E-07,9.72E-05,3.27E-05
260,6456,7019,0,1.03E-06,5.85E-08,6.18E-07,5.69E-07
261,1815,6958,0,0.000412554,0.000763297,0.65740925,0.219528367
262,8317,978,0,0.020296097,0.000307769,0.057172537,0.025925468
263,DB00484,DB00598,1,0.99996144,0.99995697,0.9995731,0.999830503
264,1153,1928,0,1.01E-06,0.001475573,2.53E-05,0.000500628
265,8821,6928,0,1.47E-06,6.55E-08,2.18E-07,5.85E-07
266,2,542,0,0.99978584,0.99678344,0.99393845,0.99683591
267,293,1904,0,8.28E-07,8.04E-06,0.000122266,4.37E-05
268,DB00586,DB00682,1,0.9685489,0.9924114,0.99609065,0.98568365
269,6025,5147,0,0.000215054,0.003430605,0.000947654,0.001531104
270,1906,1637,0,1.58E-05,6.88E-06,1.80E-05,1.36E-05
271,DB00951,DB06702,1,0.4497065,0.97017384,0.3470493,0.588976547
272,8371,5449,0,1.69E-06,1.43E-05,1.36E-06,5.78E-06
273,2338,4568,0,3.47E-05,0.10488525,0.006349593,0.037089848
274,9594,3865,0,0.54183304,0.91860855,0.09563628,0.518692623
275,1904,2932,0,1.94E-06,0.00019595,8.05E-05,9.28E-05
276,DB00682,DB01353,1,0.9984902,0.9952443,0.9925692,0.995434567
277,DB00273,DB01041,1,0.9987911,0.9997428,0.9958589,0.998130933
278,48,6906,0,0.9923643,0.99287593,0.9723822,0.985874143
279,DB00745,DB00830,1,0.9979851,0.9993763,0.99980867,0.99905669
280,1916,6765,0,3.22E-07,2.74E-05,4.56E-07,9.39E-06
281,DB00409,DB00715,1,0.9999369,0.99933535,0.9981165,0.999129583
282,DB00460,DB01017,1,0.99330676,0.9982687,0.9853554,0.992310287
283,7318,2688,0,2.21E-06,1.73E-07,8.65E-06,3.68E-06
284,2445,2193,0,5.16E-06,7.01E-06,3.60E-05,1.61E-05
285,9159,239,0,9.44E-05,0.000502586,0.000467002,0.000354663
286,2167,4184,0,0.003364265,4.73E-06,0.001167625,0.001512207
287,5279,6800,0,1.27E-06,0.001918823,0.026207596,0.009375896
288,8460,3151,0,1.52E-07,4.54E-08,3.17E-07,1.71E-07
289,3796,3305,0,0.000273854,0.003157318,0.012454361,0.005295178
290,1070,8485,0,5.98E-07,6.18E-08,3.67E-07,3.42E-07
291,DB00398,DB01656,1,0.9892701,0.9990314,0.9976269,0.995309467
292,6865,9251,0,2.51E-06,1.85E-07,3.39E-05,1.22E-05
293,DB00214,DB00802,1,0.9939694,0.9982306,0.999034,0.997078
294,DB00331,DB00703,1,0.9959588,0.98690766,0.99258876,0.991818407
295,DB00924,DB00972,1,0.9999659,0.99974966,0.9979187,0.99921142
296,4186,3941,0,6.63E-07,1.56E-06,9.42E-07,1.06E-06
297,DB00951,DB01236,1,0.93762517,0.9451119,0.004458457,0.629065176
298,7916,9392,0,0.004689366,0.015274465,0.000284731,0.006749521
299,DB00474,DB09026,1,0.9998214,0.999341,0.9993677,0.999510033
300,3498,3158,0,2.76E-06,0.001559138,0.52303225,0.174864716
301,DB00468,DB00470,1,0.9997941,0.99959284,0.9960551,0.99848068
302,6265,9584,0,4.26E-06,6.63E-07,9.03E-05,3.17E-05
303,DB00675,DB01075,1,0.99144423,0.9974721,0.97903186,0.989316063
304,DB01320,DB09065,1,0.99983644,0.9995357,0.9994339,0.999602013
305,DB00661,DB01267,1,0.99959445,0.9997946,0.9990454,0.99947815
306,5321,7496,0,0.000291437,2.67E-05,0.000238657,0.000185598
307,DB00323,DB09009,1,0.001469165,0.7260997,0.8353063,0.520958388
308,5780,9579,0,4.09E-06,1.07E-06,0.000169903,5.84E-05
309,3323,3340,0,3.02E-06,6.02E-06,9.13E-06,6.06E-06
310,1866,4992,0,0.008563638,0.000775546,0.00032413,0.003221105
311,2861,6448,0,0.74489605,0.007237524,0.8241111,0.525414891
312,2919,3926,0,4.49E-06,4.95E-06,8.56E-07,3.43E-06
313,7298,4151,0,5.81E-06,1.39E-06,0.001484126,0.000497109
314,8213,7704,0,0.6088719,0.9639859,0.8686586,0.8138388
315,3810,8,0,0.000158936,0.96173626,0.000568926,0.320821374
316,DB00415,DB01082,1,0.9999392,0.99995565,0.9996146,0.999836483
317,DB09083,DB09330,1,0.9975806,0.98780274,0.9967159,0.99403308
318,DB01175,DB01614,1,0.99993885,0.9993403,0.99989015,0.9997231
319,4857,4136,0,1.11E-06,3.61E-06,0.29947972,0.099828147
320,5897,5278,0,3.21E-06,3.17E-08,7.16E-06,3.47E-06
321,DB01098,DB01319,1,0.98311687,0.9953282,0.9886793,0.989041457
322,5918,3377,0,9.03E-07,1.20E-07,1.66E-06,8.94E-07
323,4873,4835,0,2.01E-07,1.50E-07,1.99E-06,7.80E-07
324,DB00264,DB01354,1,0.99905276,0.99976814,0.9998486,0.9995565
325,254,200,0,0.002788246,0.000367284,0.006127775,0.003094435
326,DB00784,DB01395,1,0.9477776,0.9752609,0.9794276,0.9674887
327,7065,21,0,1.47E-07,5.99E-06,5.78E-07,2.24E-06
328,110,5440,0,1.41E-05,5.19E-05,2.45E-05,3.02E-05
329,477,5438,0,0.000443369,1.09E-06,0.000311464,0.000251974
330,DB00572,DB08897,1,0.99968255,0.99899757,0.9991733,0.999284473
331,8252,8673,0,2.86E-06,9.04E-06,8.77E-05,3.32E-05
332,9409,7958,0,1.56E-05,0.000503838,0.000608474,0.000375971
333,2903,5520,0,1.35E-07,6.02E-08,9.81E-07,3.92E-07
334,2522,3789,0,2.31E-05,6.39E-05,0.001153886,0.000413629
335,3975,7329,0,4.04E-06,1.14E-05,1.06E-06,5.50E-06
336,1221,6802,0,4.69E-07,7.95E-07,1.12E-05,4.15E-06
337,7024,3716,0,4.14E-07,4.74E-07,7.04E-06,2.64E-06
338,DB00508,DB00669,1,0.9998144,0.9998076,0.9998887,0.9998369
339,DB00295,DB11315,1,0.99922657,0.9688593,0.9686383,0.978908057
340,3722,926,0,0.000126004,0.000186205,6.52E-05,0.000125803
341,DB00241,DB09273,1,0.9724821,0.9981204,0.99309707,0.987899857
342,7151,119,0,1.14E-06,4.08E-06,3.48E-07,1.86E-06
343,7048,8774,0,5.30E-07,3.32E-06,2.38E-05,9.22E-06
344,8815,7465,0,5.08E-06,6.93E-07,6.63E-06,4.13E-06
345,DB01026,DB09227,1,0.99803436,0.9894223,0.98861283,0.992023163
346,2611,170,0,5.65E-07,0.00020349,4.15E-05,8.19E-05
347,DB06589,DB09039,1,0.96989477,0.9989295,0.9992776,0.98936729
348,DB01072,DB08912,1,0.99883133,0.99974334,0.9994249,0.99933319
349,6031,434,0,1.29E-06,2.97E-06,3.24E-06,2.50E-06
350,DB00790,DB01354,1,0.99925536,0.99881816,0.998927,0.999000173
351,706,1279,0,0.28661925,0.012740731,0.02466613,0.108008704
352,6557,3793,0,8.46E-06,0.10759738,4.34E-06,0.03587006
353,DB00387,DB09271,1,0.99975204,0.9989991,0.9694352,0.989395447
354,DB00350,DB00474,1,0.9998826,0.99982196,0.9991788,0.999627787
355,DB00332,DB01114,1,0.9996716,0.9984114,0.9960832,0.9980554
356,DB00322,DB00864,1,0.99934566,0.99874157,0.99805176,0.998712997
357,DB00317,DB00863,1,0.9844184,0.9957354,0.99439573,0.99151651
358,1333,2176,0,0.001309127,0.001290888,0.45478356,0.152461192
359,DB00862,DB09477,1,0.99943614,0.99941206,0.99642766,0.998425287
360,9125,5880,0,0.31129295,0.96691316,0.8974398,0.725215303
361,DB00668,DB01251,1,0.9907545,0.9953195,0.99848557,0.99485319
362,DB01239,DB01242,1,0.99980766,0.9997457,0.99984837,0.999800577
363,DB00277,DB00289,1,0.99703944,0.9947313,0.99742776,0.9963995
364,5329,7838,0,0.002037287,0.018936604,0.117666006,0.046213299
365,DB00461,DB01609,1,0.99967206,0.99943376,0.9984065,0.999170773
366,DB00460,DB00982,1,0.98111105,0.9903716,0.98443305,0.985305233
367,3553,8846,0,4.00E-07,2.97E-07,5.63E-07,4.20E-07
368,DB00204,DB00281,1,0.99932843,0.9995346,0.9993168,0.999393277
369,DB00166,DB00653,1,0.997509,0.9977737,0.99878037,0.998021023
370,5461,5672,0,0.000524819,0.12085727,3.85E-05,0.04047353
371,DB00390,DB03880,1,0.9698707,0.92359024,0.9843409,0.95926728
372,7516,699,0,0.5830229,0.6837896,0.3089098,0.525240767
373,DB00408,DB00471,1,0.45401284,0.95588124,0.78545153,0.73178187
374,DB01021,DB01119,1,0.99941003,0.99948895,0.99854153,0.999146837
375,DB01167,DB06724,1,0.99842143,0.93979,0.99564135,0.977950927
