Gene Symbol,gene_name,Direct Evidence,Inference Score
ABCC2,1244,,237.15
CCN2,1490,marker/mechanism,236.14
CDKN1B,1027,,234.93
NCF1,653361,marker/mechanism,233.95
NOS1,4842,,233.06
PARP1,142,,232.88
ESR1,2099,,232.86
GSTP1,2950,marker/mechanism,232.48
FASLG,356,,232.12
FASN,2194,,231.48
NPY,4852,,231.43
CYCS,54205,,231.21
NGF,4803,,230.96
SREBF1,6720,,230.75
SLC2A4,6517,,229.69
CEBPB,1051,,229.14
LPL,4023,marker/mechanism,227.45
ACHE,43,,226.36
PPARA,5465,marker/mechanism|therapeutic,225.09
FSHB,2488,,224.15
CYBA,1535,marker/mechanism,221.72
CD36,948,marker/mechanism,221.18
ABCG2,9429,,216.63
CAV1,857,marker/mechanism,216.39
PCNA,5111,,215.56
CASP7,840,,215.03
COL1A2,1278,,214.39
TLR4,7099,marker/mechanism,213.85
CXCL1,2919,,213.38
BAD,572,,213.26
MAPK9,5601,,213.2
CRP,1401,marker/mechanism,212.92
NOX4,50507,marker/mechanism,211.94
VIM,7431,,210.27
LDLR,3949,,209.23
SQSTM1,8878,,208.78
HIF1A,3091,therapeutic,208.57
GJA1,2697,marker/mechanism,207.07
SIRT1,23411,,206.98
APOE,348,marker/mechanism,206.88
EDNRB,1910,,206.22
CCL3,6348,,205.86
DUSP1,1843,,205.72
SGK1,6446,,205.38
TGFB2,7042,,205.38
ADRB2,154,,204.7
MAOA,4128,,204.37
CYP2E1,1571,,203.99
MKI67,4288,,203.88
PRKCA,5578,,203.82
CDH1,999,,201.86
DRD2,1813,marker/mechanism,200.89
JUNB,3726,,200.59
TNFSF10,8743,,199.91
KCNH2,3757,,199.68
ALDH1A1,216,,198.66
ABCB11,8647,,198.41
CCL5,6352,,198.26
SLC22A1,6580,,198.26
STAR,6770,,198.04
RAC1,5879,,197.84
XDH,7498,,197.81
ABCA1,19,,197.54
PTGS1,5742,,197.21
HSPB1,3315,,196.97
UCP2,7351,marker/mechanism,196.61
ATP2A2,488,,195.79
FABP4,2167,,195.65
IRS1,3667,,195.15
HMGCR,3156,,193.8
MYH7,4625,marker/mechanism,193.5
ABCC4,10257,,193.18
S100A8,6279,,192.6
TNFRSF1A,7132,,192.34
ABCC3,8714,,192.06
CRH,1392,,191.64
EDNRA,1909,marker/mechanism,191.39
TAC1,6863,,191.33
TNFRSF11B,4982,,191.06
NR1I2,8856,,190.51
SLC7A11,23657,,190.02
PRKCD,5580,marker/mechanism,189.98
CPT1A,1374,,189.9
ATF3,467,,189.42
CEBPA,1050,,189.21
IL12B,3593,,188.89
CD14,929,,188.18
TIMP2,7077,,188.18
CLU,1191,,188.03
F3,2152,,187.73
GCLM,2730,,187.52
STAT1,6772,,186.58
ABCC1,4363,marker/mechanism,186.03
ADRB1,153,marker/mechanism,185.66
CXCL2,2920,marker/mechanism,185.35
RUNX2,860,,184.88
RB1,5925,,184.7
ACACA,31,,184.24
MMP3,4314,,182.91
CDK2,1017,,182.61
ASNS,440,,182.45
CASP1,834,,182.27
PTEN,5728,marker/mechanism,182.27
ID2,3398,,181.11
AR,367,marker/mechanism,180.79
CYP2D6,1565,,180.73
HMGB1,3146,marker/mechanism,180.6
FOXO1,2308,,180.31
GAD1,2571,marker/mechanism,180.27
BGLAP,632,,179.44
PLAT,5327,marker/mechanism,179.14
IL18,3606,,179.06
LCN2,3934,,177.52
NTRK2,4915,,177.35
CYP2C9,1559,,177.3
G6PD,2539,,176.82
UGT1A1,54658,,176.68
FOSL1,8061,,176.6
SLC2A1,6513,,176.56
AGTR1,185,marker/mechanism,176.15
IGF1R,3480,,176.09
CP,1356,,176
KDR,3791,,176
S100A9,6280,,175.7
CALCA,796,therapeutic,175.19
IGFBP3,3486,,174.81
BIRC5,332,,174.06
MTOR,2475,marker/mechanism,173.93
CDK4,1019,,173.09
AGTR2,186,marker/mechanism,172.71
PCK1,5105,,172.5
THBS1,7057,,172.5
ALPL,249,,172.37
DNMT1,1786,,172.31
ODC1,4953,,171.58
TXNRD1,7296,,171.43
ADM,133,,171.13
CTSD,1509,,170.92
NR4A1,3164,,170.52
EIF4EBP1,1978,,170.22
BCL2L11,10018,,169.93
EPO,2056,marker/mechanism,169.93
CXCL10,3627,,169.63
SMAD3,4088,,169.35
SNCA,6622,,169.26
CYP19A1,1588,,169.18
SRC,6714,,169.1
MMP13,4322,,168.79
CNR1,1268,,168.63
F2,2147,,168.63
C3,718,,168.32
CDK1,983,,167.71
AVP,551,marker/mechanism,167.66
FOSB,2354,,167.08
AGTR1A,11607,,166.63
TRIB3,57761,,166.46
EIF2AK3,9451,,165.93
NR3C2,4306,,165.72
TFRC,7037,,165.3
TNF,7124,therapeutic,165.29
ANXA1,301,marker/mechanism,165.03
MBP,4155,,164.81
SLC47A1,55244,,164.11
ATF4,468,,164.06
ACTB,60,,163.78
TJP1,7082,,163.73
SRXN1,140809,,163.52
HMGCS1,3157,,163.24
MT1A,4489,,163.22
IKBKB,3551,marker/mechanism,162.9
AHR,196,marker/mechanism,162.75
BIRC3,330,,162.7
ADORA2A,135,,161.99
PDGFRB,5159,,161.95
HSD11B2,3291,marker/mechanism,161.61
CYP11A1,1583,,161.16
CYP3A11,13112,,161.09
TGFBR2,7048,,160.86
MAPT,4137,,160.82
EGF,1950,,160.78
MAP2K1,5604,,160.55
RPS6KB1,6198,marker/mechanism,160.45
BMP2,650,,160.27
PRKCB,5579,,160.27
POR,5447,,160.07
CYP11B2,1585,,159.84
HAVCR1,26762,,159.55
CSF2,1437,,159.53
APOB,338,,159.48
TRP53,22059,,159.39
GADD45A,1647,,158.99
GSTM2,2946,,158.95
BNIP3,664,,158.86
KNG1,3827,marker/mechanism,158.81
PENK,5179,,158.7
CD44,960,,158.67
CD86,942,,158.67
KEAP1,9817,,158.41
MME,4311,,158.29
MDM2,4193,,158.28
TIMP3,7078,,158.14
SOD3,6649,marker/mechanism|therapeutic,157.97
MAOB,4129,,157.81
MMP1,4312,,157.62
APOA1,335,marker/mechanism,157.21
CYP17A1,1586,,157.19
LEPR,3953,marker/mechanism,157.06
IL1RN,3557,,156.89
COL4A1,1282,,156.82
ATP1A1,476,marker/mechanism,156.68
JAK2,3717,,156.47
VDR,7421,marker/mechanism,156.41
HSD11B1,3290,marker/mechanism,156.18
PPP1R15A,23645,,155.89
MT1,17748,,155.48
H2AX,3014,,155.45
LOX,4015,,155.35
DDIT4,54541,,154.91
GAPDH,2597,,154.57
CCNA2,890,,154.46
ERN1,2081,,154.46
KLF4,9314,,154.23
DRD1,1812,,153.97
CTSB,1508,,153.89
SLC22A7,10864,,153.88
FOSL2,2355,,153.77
APAF1,317,,153.74
PRKCE,5581,,153.59
SLC2A3,6515,,153.48
ITGAM,3684,,153.34
CXCR4,7852,,153.06
IL12A,3592,,153.06
GSN,2934,,153.04
HSF1,3297,,152.47
RHOA,387,,152.45
CEBPD,1052,,152.14
PKM,5315,,152.12
GAL,51083,marker/mechanism,152.02
FLT1,2321,,151.92
NUPR1,26471,,151.92
HSPA8,3312,,151.68
IDI1,3422,,151.59
KLF6,1316,,151.44
XBP1,7494,,151.44
ITGB1,3688,,151.2
CAMK2A,815,,151.11
LITAF,9516,,150.94
MFN2,9927,,150.89
G0S2,50486,,150.75
HSPD1,3329,,150.53
CCNB1,891,,150.52
GSTM1,2944,,150.45
SCD1,20249,,150.41
SPARC,6678,,150.33
ATF2,1386,,150.19
CCND2,894,,150.09
SLC22A3,6581,,149.67
GRIN1,2902,,149.65
ME1,4199,,149.61
GLUL,2752,,149.46
SQLE,6713,,149.46
CDH2,1000,,149.28
SLC6A4,6532,,149.04
TGFB3,7043,,148.92
FBXO32,114907,,148.89
GSTA1,2938,,148.73
POU5F1,5460,,148.5
TFAM,7019,,148.29
CCND3,896,,148.18
PTK2,5747,,148.18
IL6,3569,,147.89
NOX1,27035,,147.77
CHUK,1147,,147.55
CASP2,835,,147.53
MT2A,4502,,147.5
S100A4,6275,,147.49
TLR2,7097,,147.46
SCARB1,949,,147.4
MSMO1,6307,,147.24
INSR,3643,,147.01
CXCL12,6387,,146.91
GSTT1,2952,marker/mechanism,146.86
IGF2,3481,,146.69
ARG1,383,,146.63
SCD,6319,,146.63
PON1,5444,,146.48
PRLR,5618,,146.43
ID3,3399,,146.37
CFTR,1080,,146.33
CASP12,100506742,,146.31
CDKN2A,1029,,146.19
SELE,6401,,146.17
BCHE,590,,146.14
CTSK,1513,,146.03
ALAD,210,marker/mechanism,145.86
CASP6,839,,145.41
NAMPT,10135,,145.41
EIF2S1,1965,,145.32
INSIG1,3638,,145.28
CYP2B6,1555,,145.15
PDGFB,5155,,145.11
TAGLN,6876,,145.11
ADORA1,134,,144.72
ANGPTL4,51129,,144.72
BAK1,578,,144.72
CASP3,836,,144.71
VWF,7450,marker/mechanism,144.33
FOXO3,2309,,144.31
ID1,3397,,144.31
MET,4233,,144.24
SREBF2,6721,,143.99
CREBBP,1387,,143.74
HGF,3082,,143.66
PPARD,5467,,143.62
ABCB1A,18671,,143.39
AKT2,208,,143.36
AQP3,360,,143.28
MT2,17750,,142.98
REN,5972,,142.9
PGR,5241,,142.84
TNFSF11,8600,,142.74
CCNE1,898,,142.59
CTH,1491,,142.46
TPM1,7168,marker/mechanism,142.44
SULT1A1,6817,,142.39
COMT,1312,,142.36
TXNIP,10628,,142.36
CYP3A5,1577,,142.07
IGFBP5,3488,,141.95
GRIN2B,2904,,141.79
TNFAIP3,7128,,141.79
IGFBP1,3484,,141.6
HRAS,3265,,141.47
TNFRSF10B,8795,,141.2
GCH1,2643,marker/mechanism,141.18
HSPA1A,3303,,140.82
CFB,629,,140.72
GSTA2,2939,,140.22
BBC3,27113,,140.17
SLPI,6590,,140.16
VCAN,1462,,139.83
PLA2G4A,5321,,139.67
LDHA,3939,,139.46
PRKAA1,5562,,139.44
BTG2,7832,,139.38
RAF1,5894,,139.38
ACLY,47,,139.35
IRS2,8660,,139.07
CASP4,837,,139.03
ADRA1B,147,,138.86
HPGD,3248,,138.81
NR1H4,9971,,138.7
SLCO1A1,28248,,138.65
CKB,1152,,138.39
SLC3A2,6520,,138.34
IL1B,3553,,138.32
SLC2A2,6514,,138.09
HSP90AA1,3320,,137.88
CD68,968,,137.86
MAP1LC3B,81631,,137.85
RPS6,6194,,137.76
PIK3R1,5295,,137.56
TF,7018,,137.51
ALDOA,226,,137.47
MGLL,11343,,137.38
GSTA4,2941,,137.31
IER3,8870,marker/mechanism,137.24
SESN2,83667,,137.17
NR1I3,9970,,137.06
CSF1,1435,,137.05
HTR1A,3350,,136.98
GADD45G,10912,,136.86
UGT1A6,54578,,136.76
AIFM1,9131,,136.71
GNAS,2778,marker/mechanism,136.62
BID,637,,136.57
GPX2,2877,,136.48
CX3CL1,6376,,136.35
FTH1,2495,,136.3
GAP43,2596,,135.98
TMPRSS2,7113,,135.98
SOCS3,9021,,135.94
CYP2B10,13088,,135.92
FABP1,2168,,135.92
PDGFA,5154,,135.74
HSD17B4,3295,,135.61
EDN1,1906,marker/mechanism,135.38
VLDLR,7436,,135.2
ATF6,22926,,135.18
OCLN,100506658,,135.1
ECH1,1891,,134.88
ORM1,5004,,134.88
UCP1,7350,,134.88
CREM,1390,,134.85
IL17A,3605,,134.83
ABCB1B,18669,,134.78
HTR2A,3356,,134.78
AKR1C3,8644,,134.66
SIK1,150094,,134.61
CALR,811,,134.48
PER1,5187,,134.27
GNAI2,2771,,134.18
TNC,3371,,134.15
PDK1,5163,,133.94
THBD,7056,,133.8
LSS,4047,,133.53
EZR,7430,,133.48
GABRA1,2554,,133.45
GHRL,51738,,133.44
ESR2,2100,,133.29
GRIA2,2891,,133.26
AGER,177,marker/mechanism,133.15
PLD1,5337,,133.15
AGT,183,,133.12
GH1,2688,,133.09
CYP7A1,1581,,133.05
GAS6,2621,,132.95
PRKACA,5566,,132.95
MYH6,4624,,132.88
ANXA3,306,,132.81
TXN,7295,,132.69
BMP4,652,,132.65
GOT1,2805,,132.65
ACTA1,58,,132.42
EFNA1,1942,,132.42
A2M,2,,132.33
CHRNA4,1137,,132.33
ROCK1,6093,,132.16
MAP2,4133,,132.15
TSC22D1,8848,,132.15
HNF4A,3172,,132.05
ABCB4,5244,,131.78
TOP2A,7153,,131.76
AQP1,358,marker/mechanism,131.71
NFE2L1,4779,,131.71
ALDH2,217,,131.66
PDK4,5166,,131.66
HSPA9,3313,,131.64
GSTM3,2947,,131.61
PNPLA2,57104,,131.52
VEGFA,7422,,131.36
HBEGF,1839,,131.35
ALAS1,211,,131.17
NFIL3,4783,,131.17
RGS2,5997,therapeutic,131.09
LCAT,3931,,130.86
VCL,7414,,130.8
DCN,1634,,130.64
HP,3240,marker/mechanism,130.64
GPX3,2878,,130.55
HSP90B1,7184,,130.55
PLIN2,123,,130.55
EGR2,1959,,130.53
PER2,8864,,130.53
ITGA2,3673,,130.43
SMAD2,4087,,130.16
SLC18A2,6571,,130.11
ACACB,32,,129.99
SYP,6855,,129.96
CCN1,3491,,129.78
SP1,6667,,129.74
MT3,4504,,129.58
PRDX2,7001,,129.56
CD40,958,,129.51
SLC6A3,6531,,129.51
UCP3,7352,,129.41
HDAC1,3065,,129.37
TGFBR1,7046,,129.05
MMP7,4316,,128.98
TK1,7083,,128.95
PMAIP1,5366,,128.88
GRIA1,2890,,128.81
RGS4,5999,,128.81
ASS1,445,,128.72
SERPINB2,5055,,128.61
PLAUR,5329,,128.42
ENC1,8507,,128.4
HSPE1,3336,,128.19
UCHL1,7345,,128.19
PDGFRA,5156,,128.08
GPAM,57678,,128.03
IL5,3567,,127.94
IRF7,3665,,127.91
DES,1674,,127.65
AREG,374,,127.64
SERPINE2,5270,,127.51
FDFT1,2222,,127.5
LMNA,4000,,127.5
HMGCS2,3158,,127.43
DUSP6,1848,,127.39
NRF1,4899,,127.27
PKLR,5313,,127.25
ERBB2,2064,,127.22
HMGB2,3148,,127.15
DHCR7,1717,,127.13
DNAJB9,4189,,127.13
ETS2,2114,,127.13
FGF1,2246,,127.13
MAFF,23764,,127.13
NR1H3,10062,,127.13
VASP,7408,,127.13
IGFBP4,3487,,126.89
EPHX2,2053,,126.81
GADD45B,4616,,126.77
NR4A2,4929,,126.64
INHBA,3624,,126.53
ADA,100,,126.52
CCNG2,901,,126.52
ITPR1,3708,,126.52
CITED2,10370,,126.47
EPHX1,2052,,126.37
NCF2,4688,,126.35
PROS1,5627,,126.35
PLCB1,23236,,126.15
ARG2,384,,126.13
GDF15,9518,,126.11
XIAP,331,,125.85
SAT1,6303,,125.64
MAP2K2,5605,,125.6
FOS,2353,,125.44
NLRP3,114548,,125.38
NRP1,8829,,125.14
PDIA3,2923,,125.14
CBS,875,marker/mechanism,125.04
GRB10,2887,,124.82
ENO1,2023,,124.74
GATA4,2626,,124.7
STAT6,6778,,124.68
RRM2,6241,,124.49
BMP6,654,,124.48
TSC22D3,1831,,124.41
HAMP,57817,,124.39
EEF1A1,1915,,124.34
MGST1,4257,,124.14
NR4A3,8013,,123.98
TTR,7276,,123.92
DUSP5,1847,marker/mechanism,123.81
MAPK1,5594,,123.81
FABP3,2170,,123.63
MEF2A,4205,,123.52
ARC,23237,,123.5
CYP3A23-3A1,25642,,123.44
OXT,5020,therapeutic,123.33
SLC10A1,6554,,123.1
OPA1,4976,,123.07
ERCC1,2067,,122.96
AURKA,6790,,122.94
SLC47A2,146802,,122.93
FABP5,2171,,122.89
ACO2,50,,122.74
BECN1,8678,,122.66
PHGDH,26227,,122.65
EGLN3,112399,,122.6
MTTP,4547,,122.59
HOMER1,9456,,122.37
SLC40A1,30061,,122.26
SLC38A2,54407,,122.24
HSPA1B,3304,,122.11
LIF,3976,,122.09
CES2,8824,,122.04
CDC20,991,,122
SERPINH1,871,,121.98
COL6A1,1291,,121.83
CCR2,729230,,121.72
IGFBP2,3485,,121.65
ATP1B1,481,,121.57
ACSS2,55902,,121.44
ITGAV,3685,,121.44
NR0B2,8431,,121.36
CS,1431,,121.24
PLG,5340,marker/mechanism,121.24
SLC22A5,6584,,121.24
PLAU,5328,,120.94
MGP,4256,,120.9
ACOX1,51,,120.88
C1S,716,,120.87
ZFP36,7538,,120.74
LIPE,3991,,120.62
ABCG1,9619,,120.57
GABRG2,2566,,120.28
FKBP5,2289,,120.23
AFP,174,,120.14
CDKN2C,1031,,120.14
CTSL,1514,,119.95
CYP2C8,1558,,119.95
ALDOC,230,,119.92
GPD1,2819,,119.9
KRAS,3845,,119.9
HSPH1,10808,,119.87
CYP27B1,1594,,119.79
SLC1A2,6506,,119.55
BMP7,655,,119.53
DNM1L,10059,,119.52
SLC22A8,9376,,119.39
PRKCZ,5590,,119.37
CPT2,1376,,119.21
SLC29A1,2030,,119.15
CCNB2,9133,,118.98
ELK1,2002,,118.93
NDUFS1,4719,,118.93
THRB,7068,,118.9
HSD3B1,3283,,118.85
CYP2C19,1557,,118.8
TRPV1,7442,,118.71
MAP2K6,5608,,118.64
S100B,6285,,118.42
LRP1,4035,,118.38
MCL1,4170,,118.33
TUBB3,10381,,118.33
ACADM,34,,118.31
ENO2,2026,,118.31
F2R,2149,,118.31
TGFA,7039,,118.28
DLD,1738,,118.17
ECE1,1889,marker/mechanism,118.17
CPT1B,1375,,118.13
IFRD1,3475,,118.01
TNFAIP6,7130,,118.01
GAD2,2572,,117.9
MAPK11,5600,,117.9
JUND,3727,,117.82
GCK,2645,,117.8
KLF5,688,,117.8
PDCD4,27250,,117.8
MAPK3,5595,,117.76
COL12A1,1303,,117.71
ADAMTS1,9510,,117.7
NFKBIZ,64332,,117.69
S100A6,6277,,117.48
G6PC1,2538,,117.39
GLRX,2745,,117.39
CTSS,1520,,117.35
SLC6A6,6533,,117.33
NREP,9315,,117.01
HES1,3280,,116.93
EHHADH,1962,,116.83
BACE1,23621,,116.7
SLCO1A4,28250,,116.7
TAT,6898,,116.7
OGG1,4968,,116.67
DKK1,22943,,116.63
PDIA4,9601,,116.63
TPD52L1,7164,,116.59
ENTPD5,957,,116.38
ENO3,2027,,116.33
ITGA5,3678,,116.28
VDAC1,7416,,116.18
GPD2,2820,,116.15
ADRA2A,150,marker/mechanism,116.07
SLC12A2,6558,marker/mechanism,115.96
STIP1,10963,,115.93
UNG,7374,,115.93
CRYAB,1410,,115.88
CXCL5,6374,,115.88
E2F1,1869,,115.88
DCLK1,9201,,115.72
MMP14,4323,,115.69
PRKN,5071,,115.69
STC2,8614,,115.69
NOS2,4843,,115.68
ARRB2,409,,115.66
CHAT,1103,,115.66
MMP10,4319,,115.6
EEF2,1938,,115.58
PPP1CA,5499,,115.49
GAST,2520,,115.4
C5,727,,115.37
KIF20A,10112,,115.36
NGFR,4804,,115.36
HERPUD1,9709,,115.29
P4HA1,5033,,115.29
NR1D1,9572,,115.27
COL18A1,80781,,115.24
TCF4,6925,,115.24
HK2,3099,,115.07
DNMT3B,1789,,115.04
PPFIBP1,8496,,114.97
MYL9,10398,,114.9
RELA,5970,,114.89
LDHB,3945,,114.88
ALOX15,246,marker/mechanism,114.86
LGALS3,3958,,114.8
INHA,3623,,114.69
COL5A2,1290,,114.62
SLC25A20,788,,114.62
WNT5A,7474,,114.57
CHEK1,1111,,114.52
IL1R1,3554,,114.48
ERO1A,30001,,114.44
PIK3CA,5290,,114.35
ANXA4,307,,114.23
CDK6,1021,,114.23
LEF1,51176,,114.23
PTP4A1,7803,,114.18
SCNN1A,6337,marker/mechanism,114.18
CAMK2D,817,,114.03
DNMT3A,1788,,114.02
SOX9,6662,,114.01
PRDX1,5052,,113.85
KLF9,687,,113.75
GLI1,2735,,113.62
ARNTL,406,,113.57
THRSP,7069,,113.56
KRT18,3875,,113.52
OLFML3,56944,,113.5
SLC7A5,8140,,113.49
FADS1,3992,,113.48
RELN,5649,,113.48
APOA4,337,,113.46
BCL6,604,,113.46
CXCL9,4283,,113.46
TGFBI,7045,,113.46
CCL7,6354,,113.27
CYP2B1,24300,,113.22
ISG15,9636,,113.16
GATA3,2625,,113.15
PIM1,5292,,113.15
TNFRSF1B,7133,,113.15
CCL2,6347,marker/mechanism,113.14
MTUS1,57509,,113.04
DECR1,1666,,112.92
DDC,1644,,112.87
FGFR1,2260,,112.87
ADRA1A,148,,112.84
NOTCH1,4851,,112.84
REN,5972,marker/mechanism,112.84
POSTN,10631,,112.81
S1PR1,1901,,112.79
APEX1,328,,112.71
MCM2,4171,,112.71
JAK1,3716,,112.6
HPSE,10855,,112.59
MYLK,4638,,112.58
PRNP,5621,,112.58
CCNG1,900,,112.46
INHBE,83729,,112.46
SLC16A3,9123,,112.43
ANGPT1,284,,112.41
SNAI1,6615,,112.21
GNRH1,2796,marker/mechanism,112.16
BHLHE40,8553,,112.14
CD47,961,,111.99
HADH,3033,,111.96
CAPN2,824,,111.79
ADRA1D,146,,111.75
MFN1,55669,,111.7
DGAT2,84649,,111.65
HSPA2,3306,,111.65
NCOA2,10499,,111.63
ARNT,405,,111.62
PSAT1,29968,,111.61
ANXA2,302,,111.46
CD9,928,,111.46
GUSB,2990,,111.38
PYGL,5836,,111.38
UBC,7316,,111.38
PRDX6,9588,,111.33
SELP,6403,marker/mechanism,111.03
SELENBP1,8991,,111.02
KRT8,3856,,110.96
AKR1C1,1645,,110.85
CLDN1,9076,,110.84
HTR2C,3358,,110.84
NTS,4922,,110.84
SIRT3,23410,,110.82
IL1RL1,9173,,110.81
AOX1,316,,110.74
FST,10468,,110.74
TSPO,706,,110.74
HSP90AB1,3326,,110.72
FADD,8772,,110.71
KPNA2,3838,,110.7
TFAP2A,7020,,110.7
SKP2,6502,,110.69
CALB1,793,,110.6
HMOX2,3163,,110.6
TRAF2,7186,,110.6
CFLAR,8837,,110.47
BCAT1,586,,110.46
CTSH,1512,,110.46
MXD1,4084,,110.46
OLR1,4973,marker/mechanism,110.46
CYP51,13121,,110.41
ITGA3,3675,,110.39
ANKRD1,27063,,110.35
PPP1R1B,84152,,110.34
SESN1,27244,,110.34
NT5E,4907,,110.16
PINK1,65018,,110.16
EIF5,1983,,110.09
GEM,2669,,110.09
PRKAA2,5563,,110.09
CCNE2,9134,,110.08
PTGS2,5743,,110.08
BCL3,602,,110.01
DIO2,1734,,109.83
CCL4,6351,,109.79
THRA,7067,,109.79
INSIG2,51141,,109.71
ROCK2,9475,,109.71
CST3,1471,,109.68
CYP2J2,1573,,109.63
LUM,4060,,109.63
STMN1,3925,,109.58
TXN1,22166,,109.56
SLC22A4,6583,,109.54
SELENOP,6414,,109.3
BDKRB2,624,marker/mechanism,109.28
STC1,6781,,109.28
ERRFI1,54206,,109.21
TPI1,7167,,109.2
FANCD2,2177,,109.17
ACKR3,57007,,109.13
CALM1,801,,109.02
CFD,1675,,109.02
HBB,3043,,109.02
GGT1,2678,,109.01
NDRG1,10397,,108.96
RAMP2,10266,,108.81
PARK7,11315,,108.78
TNFRSF21,27242,,108.78
FGA,2243,,108.73
IFI44,10561,,108.71
FHL2,2274,,108.69
S100A11,6282,,108.69
SMAD7,4092,,108.69
STAT3,6774,,108.63
TGFBR3,7049,,108.63
INHBB,3625,,108.61
GRIN2A,2903,,108.45
CACNA1C,775,marker/mechanism,108.39
REL,5966,,108.39
ACAA2,10449,,108.37
C4B,721,,108.37
LMCD1,29995,,108.37
ACSL3,2181,,108.25
GBP2,2634,,108.25
RHOB,388,,108.18
MGMT,4255,,108.17
HRH1,3269,,108.05
PRDX3,10935,,108.05
CYP27A1,1593,,108.03
OGDH,4967,,108.01
PODXL,5420,,108.01
DNAJB1,3337,,107.95
MYD88,4615,marker/mechanism,107.95
PPP3CA,5530,,107.91
GCG,2641,marker/mechanism,107.89
NRG1,3084,,107.86
PTGES,9536,,107.74
AIF1,199,marker/mechanism,107.68
CD40LG,959,,107.52
RARA,5914,,107.45
SLC11A2,4891,,107.41
LIFR,3977,,107.26
SLC8A1,6546,,107.26
DAB2,1601,,107.24
UPP1,7378,,107.24
COL2A1,1280,,107.18
DBH,1621,,107.14
CD80,941,,107.09
NOS3,4846,marker/mechanism,107.09
SLC20A1,6574,,107.09
SLC9A1,6548,,107.09
SYN1,6853,,107.09
TEK,7010,,107.09
ATM,472,,107.08
CHEK2,11200,,106.95
RGS16,6004,,106.91
NANOG,79923,,106.89
SLC22A6,9356,,106.89
ANXA5,308,,106.84
MIF,4282,,106.84
ACO1,48,,106.78
CD55,1604,,106.78
FBN1,2200,,106.78
BIRC2,329,,106.71
NPHS1,4868,,106.68
