DCC_ID	Name	CAS_Number	BindingDB	ChEBI	DrugBank	KEGG Compound	KEGG Drug	PDB	PharmGKB	PubChem Compound	PubChem Substance
DCC0004	Asparaginase	CAS:9015-68-3	null	null	DB00023	null	null	null	PA448492	null	null
DCC0005	Gramicidin D	CAS:1405-97-6	null	null	DB00027	null	null	null	PA449808	null	null
DCC0006	Aldesleukin	CAS:85898-30-2	null	null	null	null	null	null	PA448081	null	null
DCC0007	Adalimumab	CAS:331731-18-1	null	null	DB00051	null	null	null	PA10004	null	null
DCC0008	Trastuzumab	CAS:180288-69-1	null	null	DB00072	null	null	null	PA451743	null	null
DCC0009	Rituximab	CAS:174722-31-7	null	null	DB00073	null	null	null	PA451261	null	null
DCC0010	Daptomycin	CAS:103060-53-3	null	null	DB00080	C12013	D01080	null	PA164768820	null	null
DCC0011	Cyclosporine	CAS:59865-13-3	null	4031	DB00091	C05086	D00184	null	PA449167	null	null
DCC0012	Bevacizumab	CAS:216974-75-3	null	null	DB00112	null	null	null	PA130232992	null	null
DCC0013	Vitamin B12CN	CAS:68-19-9	null	17439	DB00115	C02823	D00166	CNC	PA451892	44176380	46509031
DCC0014	Valsartan	CAS:137862-53-4	50049186	9927	DB00177	null	D00400	null	PA451848	60846	46509000
DCC0015	Ramipril	CAS:87333-19-5	null	8774	DB00178	null	D00421	null	PA451223	5362129	46506390
DCC0016	Bortezomib	CAS:179324-69-7	null	52717	DB00188	null	null	null	PA10252	null	null
DCC0017	Carbidopa	CAS:28860-95-9	null	3395	DB00190	null	D00558	null	PA448794	null	null
DCC0018	Tramadol	CAS:27203-92-5	50176262	null	DB00193	C07153	D08623	null	PA451735	33741	46506256
DCC0019	Oseltamivir	CAS:204255-11-8	5025	7798	DB00198	C08093	D00900	null	PA450721	65028	46507602
DCC0020	Erythromycin	CAS:114-07-8	null	48923	DB00199	C01912	D00140	ERY	PA449493	12560	46508487
DCC0021	Caffeine	CAS:58-08-2	10849	27732	DB00201	C07481	D00528	CFF	PA448710	2519	46506408
DCC0022	Sildenafil	CAS:139755-83-2	14390	9139	DB00203	C07259	D02229	null	PA451346	5212	46508371
DCC0023	Pyrimethamine	CAS:58-14-0	18512	8673	DB00205	C07391	D00488	CP6	PA451193	4993	46505987
DCC0024	Azithromycin	CAS:83905-01-5	50197040	2955	DB00207	C06838	null	ZIT	PA448519	null	null
DCC0025	Adapalene	CAS:106685-40-9	null	31174	DB00210	null	D01112	null	PA448047	60164	46505019
DCC0026	Pantoprazole	CAS:102625-70-7	50241342	7915	DB00213	C11806	D05353	null	PA450774	4679	46504622
DCC0027	Glimepiride	CAS:93479-97-1	null	5383	DB00222	C07669	D00593	null	PA449761	3476	46508842
DCC0028	Indinavir	CAS:150378-17-9	517	5898	DB00224	C07051	null	null	PA449977	5362440	46506442
DCC0532	Trientine	CAS:112-24-3	null	null	null	null	D00736	null	null	5565	null
DCC0545	Sofosbuvir	CAS:1190307-88-0	null	null	D10366	null	null	null	null	72699160	null
DCC0547	Avibactam	CAS:1192500-31-4	null	null	D10340	null	null	null	null	9835049	null
DCC0494	Cobicistat	CAS:1004316-88-4	null	null	null	null	D09881	null	null	25151504	null
DCC0551	Desirudin	CAS:120993-53-5	null	null	null	null	D03692	null	null	16129703	null
DCC0552	Conjugated Estrogen	CAS:438-67-5	null	null	DB00286	null	null	null	PA164754789	23667301	46505680
DCC0565	Azelnidipine	CAS:123524-52-7	null	null	null	null	D01145	null	null	65948	null
DCC0585	Levomefolic acid	CAS:134-35-0	null	null	null	null	D09353	null	null	444412	null
DCC0587	Ferrous sulfate	CAS:13463-43-9	null	null	null	null	D04172	null	null	62712	null
DCC0590	Tetracaine hydrochloride	CAS:136-47-0	null	null	null	null	D00741	null	null	8695	null
DCC0596	ABT-751	CAS:141430-65-1	null	null	null	null	null	null	null	3035714	null
DCC0612	Benzathine penicillin	CAS:1538-09-6	null	null	null	null	D02157	null	null	15232	null
DCC0613	Abiraterone acetate	CAS:154229-19-3	null	68639	DB05812	null	D09701	null	null	132970	null
DCC0603	Follitropin alpha	CAS:146479-72-3	null	null	DB00066	null	null	null	null	null	null
DCC0608	Levomefolate calcium	CAS:151533-22-1	null	null	null	null	D09354	null	null	71463816	null
DCC0620	Canfosfamide	CAS:158382-37-7	null	null	DB04972	null	D03351	null	null	133045	null
DCC0622	Iniparib	CAS:160003-66-7	null	null	null	null	D09913	null	null	9796068	null
DCC0628	Bendamustine	CAS:16506-27-7	null	null	null	null	D07501	null	null	65628	null
DCC0630	Zosuquidar trihydrochloride	CAS:167354-41-8	null	null	null	null	D06387	null	null	47208044	null
DCC0634	Enzastaurin	CAS:170364-57-5	null	null	null	null	D04014	null	null	47205988	null
DCC0635	Phenylbutyrate sodium	CAS:1716-12-7	null	null	D58068	null	null	null	null	47207529	null
DCC0640	Ibritumomab tiuxetan	CAS:174722-31-7	null	null	DB00078	null	D04489	null	null	47206337	null
DCC0657	Lapaquistat acetate	CAS:189060-13-7	null	null	null	null	D06609	null	null	9874248	null
DCC0665	Bazedoxifene	CAS:198481-32-2	null	null	null	null	D03062	null	null	154257	null
DCC0666	O6-benzylguanine	CAS:19916-73-5	null	null	null	null	null	null	null	4578	null
DCC0684	Zotarolimus	CAS:221877-54-9	null	null	null	null	D06669	null	null	23375907	null
DCC0652	Zibotentan	CAS:186497-07-4	null	null	null	null	D07741	null	null	9910224	null
DCC0700	Fimasartan	CAS:247257-48-3	null	null	null	null	null	null	null	9870652	null
DCC0705	Polyethylene glycol	CAS:25322-68-3	null	null	null	null	D03370	null	null	174	null
DCC0717	Romiplostim	CAS:267639-76-9	null	null	DB05332	null	D08990	null	null	null	null
DCC0723	Cediranib	CAS:288383-20-0	null	null	null	null	D08881	null	null	9933475	null
DCC0738	Indacaterol maleate	CAS:312753-06-3	null	68575	DB05039	null	D09318	null	PA165958348	null	null
DCC0741	Lixisenatide	CAS:320367-13-3	null	null	null	null	D09729	null	null	16139342	null
DCC0764	Boceprevir	CAS:394730-60-0	null	null	DB08873	null	D08876	null	null	10324367	null
DCC0768	Panobinostat	CAS:404950-80-7	null	null	D10319	null	null	null	null	6918837	null
DCC0769	Piperaquine	CAS:4085-31-8	null	null	null	null	null	null	null	122262	null
DCC0770	Casopitant	CAS:414910-27-3	null	null	null	null	D06574	null	null	23725088	null
DCC0777	Pazopanib hydrochloride	CAS:444731-52-6	null	71219	DB06589	null	D05380	null	null	null	null
DCC0949	Pixantrone	CAS:784209-05-8	null	null	DB06193	null	D05522	null	null	134019	null
DCC0956	Obatoclax mesylate	CAS:803712-79-0	null	null	null	null	D08954	null	null	167274114	null
DCC0959	Simethicone	CAS:8050-81-5	null	null	null	null	D05841	null	null	9794495	null
DCC0969	GSK2190915	CAS:83928-66-9	null	null	null	null	null	null	null	55190	null
DCC0979	Danoprevir	CAS:850876-88-9	null	null	null	null	D09884	null	null	25144717	null
DCC0990	Dopexamine	CAS:86197-47-9	null	null	null	null	D03891	null	null	55483	null
DCC1010	Bismuth subcitrate potassium	CAS:880149-29-1	null	null	null	null	null	null	null	53297469	null
DCC1011	Tanezumab	CAS:880266-57-9	null	null	null	null	D09387	null	null	null	null
DCC1017	SCH 900776	CAS:891494-63-6	null	null	null	null	null	null	null	46239015	null
DCC1020	Trebananib	CAS:894356-79-7	null	null	D10177	null	null	null	null	null	null
DCC1021	Tropisetron	CAS:89565-68-4	null	null	null	null	D02130	null	null	656665	null
DCC1024	Teprotumumab	CAS:89957-37-9	null	null	null	null	D09680	null	null	60699	null
DCC1035	Rebamipide	CAS:90098-04-7	null	null	null	null	D01121	null	null	5042	null
DCC1040	Ganitumab	CAS:905703-97-1	null	null	null	null	D09908	null	null	null	null
DCC1046	Edoxaban	CAS:912273-65-5	null	null	null	null	D09710	null	null	10280735	null
DCC1060	Simeprevir	CAS:923604-59-5	null	null	D10081	null	null	null	null	56928193	null
DCC1084	Obinutuzumab	CAS:949142-50-1	null	null	null	null	D09321	null	null	null	null
DCC1097	Estradiol valerate	CAS:979-32-8	null	null	DB00783	null	D01413	null	null	13791	null
DCC1098	Brivaracetam	CAS:9837243	null	null	null	null	D08879	null	null	9837243	null
DCC1105	Somatokine	null	null	null	null	null	null	null	null	6918010	null
DCC1106	Ofatumumab	null	null	null	null	null	D09314	null	null	null	null
DCC1108	Dornase alfa	CAS:9003-98-9	null	null	DB00003	null	null	null	PA10318	null	null
DCC1110	Enbrel	CAS:185243-69-0	null	null	DB00005	C07897	D00742	null	PA449515	null	null
DCC1112	Leuprolide acetate	CAS:53714-56-0	null	6427	DB00007	C07612	D08113	null	PA450203	null	null
DCC1116	Goserelin acetate	CAS:65807-02-5	null	null	DB00014	null	D00573	null	PA164747674	null	null
DCC1117	Reteplase	CAS:133652-38-7	null	null	DB00015	null	null	null	PA164743728	null	null
DCC1122	Anakinra	CAS:143090-92-0	null	null	DB00026	null	D02934	null	PA10799	null	null
DCC1124	Insulin	CAS:11061-68-0	null	5931	DB00030	C00723	D03230	null	PA164744571	null	null
DCC1126	Interferon gamma-1b	CAS:82115-62-6	null	null	DB00033	null	null	null	PA164746386	null	null
DCC1118	Epoetin-alpha	CAS:113427-24-0	null	null	DB00016	null	null	null	PA10072	null	null
DCC1120	Pegfilgrastim	CAS:208265-92-3	null	null	DB00019	null	null	null	PA164781387	null	null
DCC1121	Sargramostim	CAS:83869-56-1	null	null	DB00020	null	null	null	PA164748631	null	null
DCC0779	Dapagliflozin	CAS:461432-26-8	null	null	null	null	D08897	null	null	9887712	null
DCC0784	Albinterferon alfa-2b	CAS:472960-22-8	null	null	null	null	D08844	null	null	null	null
DCC0787	Ipilimumab	CAS:477202-00-9	null	null	null	null	D04603	null	null	477202	null
DCC0789	Elesclomol	CAS:488832-69-5	null	null	DB05719	null	D08909	null	null	300471	null
DCC0793	Lactate	CAS:50-21-5	null	null	DB04398	null	D00111	null	null	612	null
DCC0794	Sorbitol	CAS:50-70-4	null	17924	DB01638	C00794	D00096	SOR	PA451455	5780	46507030
DCC0797	Vilanterol	CAS:503068-34-6	null	null	D9696	null	null	null	null	10184665	null
DCC0799	Piperonyl butoxide	CAS:51-03-6	null	null	null	null	D08383	null	null	5794	null
DCC0802	Raltegravir	CAS:518048-05-0	null	null	null	null	D06676	null	null	54671008	null
DCC0810	L-NMMA acetate	CAS:53308-83-1	null	null	null	null	null	null	null	5702206	null
DCC0811	Sulfonylurea	CAS:53855-79-1	null	null	null	null	null	null	null	53422042	null
DCC0818	Lithium carbonate	CAS:554-13-2	null	null	DB01356	null	D00801	null	null	11125	null
DCC0832	Bismuth potassium citrate	CAS:57644-54-9	null	null	null	null	D09739	null	null	10101269	null
DCC0834	Triptorelin	CAS:57773-63-4	null	null	null	null	D06247	null	null	25074470	null
DCC0836	Testosterone	CAS:968-93-4	null	9460	DB00894	C02197	D00153	null	PA164743056	13769	46508076
DCC0849	Drotrecogin alfa	CAS:60202-16-6	null	null	DB00055	null	null	null	PA131548935	null	null
DCC0850	Bisacodyl	CAS:603-50-9	null	null	null	null	D00245	null	null	2391	null
DCC0863	Meglumine	CAS:6284-40-8	null	null	null	null	D01796	null	null	8567	null
DCC0868	Ocrelizumab	CAS:637334-45-3	null	null	null	null	D05218	null	null	null	null
DCC0853	Linifanib	CAS:606143-52-6	null	null	null	null	D09635	null	null	11485656	null
DCC0875	Nicorandil	CAS:65141-46-0	null	null	null	null	D01810	null	null	47528	null
DCC0881	Dienogest	CAS:65928-58-7	null	null	null	null	D03799	null	null	68861	null
DCC0885	Linagliptin	CAS:668270-12-0	null	null	DB08882	null	D09566	null	null	10096344	null
DCC0886	2-Propanol	CAS:67-63-0	null	null	DB02325	null	D00137	null	null	3776	null
DCC0887	Cholecalciferol	CAS:67-97-0	null	28940	DB00169	C05443	D00188	null	PA164748138	null	null
DCC0893	Sulbactam	CAS:68373-14-8	null	null	null	null	D08533	null	null	130313	null
DCC0897	Balapiravir	CAS:690270-29-2	null	null	null	null	D09582	null	null	53297462	null
DCC0903	Elvitegravir	CAS:697761-98-1	null	null	null	null	D06677	null	null	23083982	null
DCC0909	Octenidine	CAS:71251-02-0	null	null	null	null	D08289	null	null	51167	null
DCC0912	Dihydroartemisinin	CAS:71939-50-9	null	null	null	null	null	null	null	49849521	null
DCC0904	Neratinib	CAS:698387-09-6	null	null	null	null	D08950	null	null	9915743	null
DCC0907	Bicarbonate	CAS:71-52-3	null	null	DB01390	null	D01203	null	null	516892	null
DCC0908	Medroxyprogeterone acetate	CAS:520-85-4	null	6715	DB00603	C07119	null	null	PA450344	10631	46508895
DCC0917	Campath 1H	CAS:727728-72-5	null	null	DB00087	null	D02802	null	null	null	null
DCC0920	Ketorolac	CAS:66635-83-4	50009855	null	DB00465	C07062	null	null	PA450150	3826	46507019
DCC0927	Pyronaridine	CAS:74847-35-1	null	null	null	null	null	null	null	5485198	null
DCC0932	Olaparib	CAS:763113-22-0	null	null	null	null	D09730	null	null	23725625	null
DCC0938	Tricalcium phosphate	CAS:7758-87-4	null	null	null	null	D00938	null	null	24456	null
DCC0944	Telcagepant	CAS:781649-09-0	null	null	null	null	D09391	null	null	11319053	null
DCC0945	Sepantronium bromide	CAS:781661-94-7	null	null	D10164	null	null	null	null	11178236	null
DCC0414	Mesna	CAS:19767-45-4	null	null	null	null	D01459	null	null	23662354	null
DCC0415	Sabarubicin	CAS:211100-13-9	null	null	null	null	null	null	null	151897	null
DCC0066	Mefloquine	CAS:53230-10-7	50022889	null	DB00358	C07633	D04895	null	PA450348	4046	46505610
DCC0416	Potassium oxonate	CAS:937-13-3	null	30863	DB03209	null	null	OXC	null	4604	46508346
DCC0417	Articaine hydrochloride	CAS:23964-57-0	null	null	null	null	D02991	null	null	32169	null
DCC0418	Dipropofol	CAS:2416-95-7	null	null	null	null	null	null	null	11602828	null
DCC0419	Torcetrapib	CAS:262352-17-0	null	null	null	null	D06195	null	null	159325	null
DCC0420	Tirapazamine	CAS:27314-97-2	null	null	DB04858	null	D06167	null	null	33776	null
DCC0421	Vildagliptin	CAS:274901-16-5	11695	null	DB04876	null	null	null	PA165958346	6918537	99443227
DCC0422	Methylseleninic acid	CAS:28274-57-9	null	null	null	null	null	null	null	161597	null
DCC0423	1,2,4-trioxolane	CAS:289-14-5	null	null	null	null	null	null	null	78967	null
DCC0424	Alagebrium	CAS:341028-37-3	null	null	null	null	D03206	null	null	216306	null
DCC0426	2-methoxyestradiol	CAS:362-07-2	null	null	DB02342	null	null	null	null	66414	null
DCC0427	CI-1040	CAS:212631-79-3	null	null	null	null	null	null	null	6918454	null
DCC0428	GW6471	CAS:880635-03-0	null	null	null	null	null	null	null	71311842	null
DCC0429	Afatinib	CAS:850140-72-6	null	null	DB08916	null	D09724	null	null	null	null
DCC0430	NU6140	CAS:444723-13-1	null	null	null	null	null	null	null	10202471	null
DCC0431	Curcumin	CAS:458-37-7	null	null	null	null	null	null	null	969516	null
DCC0432	Beta-lapachone	CAS:4707-32-8	null	null	null	null	null	null	null	3885	null
DCC0436	Adarotene	CAS:496868-77-0	null	null	null	null	null	null	null	9864378	null
DCC0437	AEE788	CAS:497839-62-0	null	null	null	null	null	null	null	10297043	null
DCC0433	ST-91	CAS:4749-61-5	null	null	null	null	null	null	null	20863	null
DCC0434	Luteolin	CAS:491-70-3	null	null	null	null	null	null	null	5280445	null
DCC0435	Kynurenic acid	CAS:492-27-3	null	null	null	null	null	null	null	3845	null
DCC0439	5-2,4-dihydroxypyrimidine	CAS:504-07-4	null	null	null	null	null	null	null	649	null
DCC0440	Mizoribine	CAS:50924-49-7	null	null	null	null	D01392	null	null	104762	null
DCC0441	Dibutyryl-cGMP	CAS:51116-00-8	null	null	null	null	null	null	null	44134671	null
DCC0442	Emodin	CAS:518-82-1	null	null	null	null	null	null	null	3220	null
DCC0443	Pipemidic acid	CAS:51940-44-4	null	null	null	null	D08379	null	null	4831	null
DCC0444	Ponicidin	CAS:52617-37-5	null	null	null	null	null	null	null	171176	null
DCC0445	Sodium benzoate	CAS:532-32-1	null	null	null	null	D02227	null	null	517055	null
DCC0446	Tubacin	CAS:537049-40-4	null	null	null	null	null	null	null	71311621	null
DCC0447	Thonzonium bromide	CAS:553-08-2	null	null	null	null	D02140	null	null	11102	null
DCC0448	Laropiprant	CAS:571170-77-9	null	null	null	null	D08940	null	null	9867642	null
DCC0450	Miltefosine	CAS:58066-85-6	null	null	null	null	D02494	null	null	3599	null
DCC0451	Trichostatin A	CAS:58880-19-6	null	null	null	null	null	null	null	444732	null
DCC0452	Methylene blue	CAS:61-73-4	null	null	null	null	D02312	null	null	6099	null
DCC0453	Docosahexaenoic acid	CAS:6217-54-5	null	null	null	null	null	null	null	445580	null
DCC0454	Artemisinin	CAS:63968-64-9	null	null	null	null	D02481	null	null	452191	null
DCC0455	Naphthoquine	CAS:68157-60-8	null	null	null	null	null	null	null	93379	null
DCC0456	Tanespimycin	CAS:75747-14-7	null	null	null	null	D06650	null	null	71296110	null
DCC0457	Sorivudine	CAS:77181-69-2	null	null	null	null	D01734	null	null	5282192	null
DCC0458	Phenoxodiol	CAS:81267-65-4	null	null	DB04915	null	null	null	null	219100	null
DCC0459	CP55940	CAS:83002-04-4	null	null	null	null	null	null	null	104895	null
DCC0460	Raclopride	CAS:84225-95-6	null	null	null	null	D05690	null	null	3033769	null
DCC0461	Lexatumumab	CAS:845816-02-6	null	null	null	null	D06611	null	null	976034	null
DCC0462	ABT-737	CAS:852808-04-9	null	null	null	null	null	null	null	11228183	null
DCC0463	Acrivastine	CAS:87848-99-5	null	null	null	null	D02760	null	null	5284514	null
DCC0464	Artesunate	CAS:88495-63-0	null	null	null	null	D02482	null	null	16394563	null
DCC0466	Chitosan	CAS:9012-76-4	null	null	null	null	null	null	null	71853	null
DCC0467	Tetracaine	CAS:94-24-6	null	null	null	null	D00551	null	null	5411	null
DCC0468	Benzoyl peroxide	CAS:94-36-0	null	null	null	null	D03093	null	null	7187	null
DCC0469	Trimidox	CAS:95933-74-7	null	null	null	null	null	null	null	5464467	null
DCC0470	Citicoline	CAS:987-78-0	null	null	null	null	D00057	null	null	13804	null
DCC0471	Peloruside A	null	null	null	null	null	null	null	null	6918506	null
DCC1127	Interferon alfa-2a	CAS:77907-69-8	null	null	DB00034	null	null	null	PA164779048	null	null
DCC1844	Phenazopyridine hydrochloride	CAS:136-40-3	null	null	DB01438	null	D05450	null	null	null	47207119
DCC1845	Phenylpropanolamine	CAS:14838-15-4	null	null	DB00397	null	D08368	null	null	null	96025054
DCC1846	Polythiazide	CAS:346-18-9	null	null	DB01324	null	D00657	null	null	null	7847723
DCC1840	Metrizoic acid	CAS:1949-45-7	null	null	null	null	null	null	null	null	7846977
DCC1841	Norethynodrel	CAS:68-23-5	null	null	null	null	D05207	null	null	null	47206926
DCC1842	Pargyline hydrochloride	CAS:306-07-0	null	null	DB01626	null	D02564	null	null	null	17396735
DCC1847	Propoxycaine hydrochloride	CAS:550-83-4	null	null	null	null	D02099	null	null	null	7849160
DCC1848	Pyrethrins	CAS:8003-34-7	null	null	null	null	null	null	null	null	17395939
DCC1849	Pyrilamine maleate	CAS:59-33-6	null	null	DB06691	null	D05660	null	null	null	47207321
DCC1850	Quinethazone	CAS:73-49-4	null	null	DB01325	null	D00461	null	null	null	7847527
DCC1851	Quinupristin	CAS:120138-50-3	null	null	DB01369	null	D00852	null	null	null	7847917
DCC1852	Reserpine	CAS:50-55-5	null	null	DB00206	null	D00197	null	null	null	7847265
DCC1853	Sulfabenzamide	CAS:127-71-9	null	null	null	null	D05946	null	null	null	47207604
DCC1854	Sulfamerazine	CAS:127-79-7	null	null	DB01581	null	D02435	null	null	null	7849493
DCC1855	Sulfamethazine	CAS:57-68-1	null	null	DB01582	null	D02436	null	null	null	7849494
DCC1856	Trichlormethiazide	CAS:133-67-5	null	null	DB01021	null	D00658	null	null	null	7847724
DCC1857	Trovafloxacin mesylate	CAS:147059-75-4	null	null	DB00685	null	D02123	null	null	null	7849184
DCC1858	Tyrosine	CAS:60-18-4	null	null	DB00135	null	D00022	null	null	null	7847090
DCC1859	Umeclidinium bromide	CAS:869113-09-7	null	null	null	null	D10181	null	null	null	135626899
DCC1860	Urea	CAS:57-13-6	null	null	DB03904	null	D00023	null	null	null	7847091
DCC1861	Sulfathiazole	CAS:72-14-0	null	null	DB06147	null	D01047	null	null	null	7848110
DCC0094	Gemcitabine	CAS:95058-81-4	null	175901	DB00441	C07650	D02368	GEO	PA449748	60750	46506425
DCC0095	Betamethasone	CAS:378-44-9	null	3077	DB00443	null	D00244	null	PA164754818	9782	46505155
DCC0096	Epirubicin	CAS:56420-45-2	null	47898	DB00445	C11230	null	null	PA449476	41867	46507282
DCC0097	Lansoprazole	CAS:103577-45-3	null	6375	DB00448	null	D00355	null	PA450180	3883	46508975
DCC0098	Loratadine	CAS:79794-75-5	22876	null	DB00455	null	D00364	null	PA450266	3957	46507853
DCC0099	Montelukast	CAS:158966-92-8	null	6992	DB00471	C07482	null	null	PA450546	5281040	46505585
DCC0100	Fluoxetine	CAS:54910-89-3	30130	5118	DB00472	null	D00823	null	PA449673	3386	46507902
DCC0101	Chlordiazepoxide	CAS:58-25-3	null	3611	DB00475	null	D00267	null	PA448932	null	null
DCC0102	Amikacin	CAS:37517-28-5	null	2637	DB00479	C06820	D02543	null	PA164744372	37768	46506386
DCC0103	Lenalidomide	CAS:191732-72-6	50078323	63791	DB00480	null	D04687	null	PA162363968	216326	46505725
DCC0104	Raloxifene	CAS:84449-90-1	19441	8772	DB00481	C07228	null	RAL	PA451221	5035	46506514
DCC0116	Dextromethorphan	CAS:125-71-3	null	4470	DB00514	C06947	D03742	null	PA449273	null	null
DCC0117	Cisplatin	CAS:15663-27-1	null	27899	DB00515	C06911	D00275	null	PA449014	441203	46504561
DCC0118	Albendazole	CAS:54965-21-8	50241293	16664	DB00518	C01779	D00134	ALW	PA164746058	2082	46506472
DCC0119	Trandolapril	CAS:87679-37-6	null	null	DB00519	null	D00383	null	PA451737	5484727	46508300
DCC0120	Oxaliplatin	CAS:61825-94-3	null	31941	DB00526	null	D01790	null	PA131285527	6857599	46509083
DCC0121	Lercanidipine	CAS:100427-26-7	null	null	DB00528	null	null	null	PA164769058	65866	46508865
DCC0122	Erlotinib	CAS:183321-74-6	5446	114785	DB00530	null	D07907	AQ4	PA134687924	176870	46508021
DCC0123	Cyclophosphamide	CAS:50-18-0	null	4027	DB00531	C07888	D07760	null	PA449165	2907	46505441
DCC0124	Ciprofloxacin	CAS:85721-33-1	21690	100241	DB00537	C05349	D00186	null	PA449009	2764	46504733
DCC0105	Celecoxib	CAS:169590-42-5	11639	3520	DB00482	C07589	D00567	CEL	PA448871	2662	46505596
DCC0106	Brimonidine	CAS:59803-98-4	null	3175	DB00484	C07886	D02076	null	PA448665	2435	46507305
DCC0107	Pefloxacin	CAS:70458-92-3	null	50199	DB00487	null	D02306	null	PA164742856	51081	46507338
