DrugCombination_ID,Components_Name,DrugBank_ID,Label,Smiles
DC006553,Irbesartan; Ramipril,DB00178/DB01029,1,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC?CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
DC000442,Alagebrium; Ramipril,DB00178/DCC0424,1,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC?CC1=C(C)[N+](CC(=O)C2=CC=CC=C2)=CS1
DC000212,Bortezomib; Lenalidomide,DB00188/DB00480,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O?NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O
DC000184,Bortezomib; Cisplatin,DB00188/DB00515,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O?[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]
DC000359,Bortezomib; Etoposide,DB00188/DB00773,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O?[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
DC001367,Bortezomib; Doxorubicin,DB00188/DB00997,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O?COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
DC001261,Bortezomib; Decitabine,DB00188/DB01262,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O?NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1
DC000295,Bortezomib; Vorinostat,DB00188/DB02546,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O?ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1
DC000296,Bortezomib; Lonafarnib,DB00188/DCC0412,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O?NC(=O)N1CCC(CC(=O)N2CCC(CC2)[C@H]2C3=C(CCC4=C2C(Br)=CC(Cl)=C4)C=C(Br)C=N3)CC1
DC003566,Bortezomib; Idarubicin,DB00188/DB01177,1,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O?C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O
DC000159,Carbidopa; Levodopa,DB00190/DB01235,1,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O?N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
DC000154,Acetaminophen; Tramadol,DB00193/DB00316,1,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C?CC(=O)NC1=CC=C(O)C=C1
DC000416,Dexketoprofen; Tramadol,DB00193/DCC0398,1,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C?[H][C@@](C)(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
DC000014,Erythromycin; Sulfisoxazole,DB00199/DB00263,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O?CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
DC000431,Erythromycin; Penicillin V,DB00199/DB00417,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O?[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O
DC000313,Benzoyl peroxide; Erythromycin,DB00199/DCC0468,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O?O=C(OOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
DC000057,Caffeine; Ergotamine,DB00201/DB00696,1,CN1C=NC2=C1C(=O)N(C)C(=O)N2C?[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O
DC000434,Iloprost; Sildenafil,DB00203/DB01088,1,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1?[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C\C(C2)=C\CCCC(O)=O
DC004890,Methyltestosterone; Sildenafil,DB00203/DB06710,1,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1?[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DC001268,Sildenafil; Tadalafil,DB00203/DB00820,1,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1?[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1
DC000240,Pyrimethamine; Sulfadoxine,DB00205/DB01299,1,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1?COC1=NC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1OC
DC000344,Azithromycin; Ceftazidime,DB00207/DB00438,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O?[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
DC000137,Azithromycin; Mercaptopurine,DB00207/DB01033,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O?S=C1N=CNC2=C1NC=N2
DC002867,Azithromycin; Rifampin,DB00207/DB01045,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O?CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C
DC000261,Azithromycin; Imipenem,DB00207/DB01598,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O?[H][C@]12CC(SCC\N=C\N)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
DC005839,Artesunate; Azithromycin,DB00207/DCC0464,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O?[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@@H](OC(=O)CCC(O)=O)[C@@H]2C)O4
DC007206,Azithromycin dihydrate; Trovafloxacin mesylate,DB00207/DB00685,1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O?[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=C(F)C=C(F)C=C1)C(O)=O
DC000214,Adapalene; Benzoyl peroxide,DB00210/DCC0468,1,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2?O=C(OOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
DC000219,Methotrexate; Pantoprazole,DB00213/DB00563,1,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1?CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
DC003304,Pantoprazole; Rebamipide,DB00213/DCC1035,1,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1?OC(=O)C(CC1=CC(=O)NC2=C1C=CC=C2)NC(=O)C1=CC=C(Cl)C=C1
DC001608,Glimepiride; Metformin,DB00222/DB00331,1,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O?CN(C)C(=N)NC(N)=N
DC000155,Glimepiride; Rosiglitazone,DB00222/DB00412,1,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O?CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1
DC000156,Glimepiride; Pioglitazone,DB00222/DB01132,1,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O?CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1
DC000113,Lovastatin; Niacin,DB00227/DB00627,1,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC?OC(=O)C1=CN=CC=C1
DC004379,Nevirapine; Zidovudine,DB00238/DB00495,1,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1?CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
DC004659,Carbamazepine; Nevirapine,DB00238/DB00564,1,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1?NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
DC000115,Acetaminophen; Butalbital,DB00241/DB00316,1,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O?CC(=O)NC1=CC=C(O)C=C1
DC007195,Aspirin; Butalbital,DB00241/DB00945,1,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O?CC(=O)OC1=CC=CC=C1C(O)=O
DC000402,Phenytoin; Valproic Acid,DB00252/DB00313,1,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1?CCCC(CCC)C(O)=O
DC000351,Betamethasone; Clotrimazole,DB00257/DB00443,1,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1?[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DC000287,Cycloserine; Epigallocatechin,DB00260/DB03823,1,N[C@@H]1CONC1=O?O[C@@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C(O)=C1)C=C(O)C=C2O
DC007309,Phenazopyridine hydrochloride; Sulfisoxazole,DB00263/DB01438,1,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C?NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1
DC007233,Chlorthalidone; Metoprolol tartrate,DB00264/DB00310,1,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1?NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12
DC000479,Hydrochlorothiazide; Metoprolol,DB00264/DB00999,1,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1?NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
DC002516,Felodipine; Metoprolol,DB00264/DB01023,1,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1?CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC
DC000445,Topiramate; Valproic Acid,DB00273/DB00313,1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2?CCCC(CCC)C(O)=O
DC000441,Lamotrigine; Topiramate,DB00273/DB00555,1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2?NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1
DC000443,Carbamazepine; Topiramate,DB00273/DB00564,1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2?NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
DC000447,Oxcarbazepine; Topiramate,DB00273/DB00776,1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2?NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2
DC000448,Levetiracetam; Topiramate,DB00273/DB01202,1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2?CC[C@H](N1CCCC1=O)C(N)=O
DC000085,Raclopride; Topiramate,DB00273/DCC0460,1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2?CCN1CCC[C@H]1CNC(=O)C1=C(O)C(Cl)=CC(Cl)=C1OC
DC007182,Phentermine hydrochloride; Topiramate,DB00273/DB00191,1,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2?CC(C)(N)CC1=CC=CC=C1
DC000463,Amlodipine; Olmesartan,DB00275/DB00381,1,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O?CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
DC000483,Hydrochlorothiazide; Olmesartan,DB00275/DB00999,1,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O?NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
DC005610,Azelnidipine; Olmesartan,DB00275/DCC0565,1,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O?CC(C)OC(=O)C1=C(C)NC(N)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1
DC000446,Diphenhydramine; Theophylline,DB00277/DB01075,1,CN1C2=C(NC=N2)C(=O)N(C)C1=O?CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
DC000266,Aminophylline; Theophylline,DB00277/DB01223,1,CN1C2=C(NC=N2)C(=O)N(C)C1=O?NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
DC007315,Procaine merethoxylline; Theophylline,DB00277/DB00721,1,CN1C2=C(NC=N2)C(=O)N(C)C1=O?CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
DC007177,Bupivacaine hydrochloride; Lidocaine hydrochloride,DB00281/DB00297,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
DC007292,Lidocaine hydrochloride; Oxytetracycline,DB00281/DB00595,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C
DC000016,Epinephrine; Lidocaine,DB00281/DB00668,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?CNC[C@H](O)C1=CC(O)=C(O)C=C1
DC000111,Lidocaine; Prilocaine,DB00281/DB00750,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?CCCNC(C)C(=O)NC1=CC=CC=C1C
DC002454,Chlorhexidine; Lidocaine,DB00281/DB00878,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
DC007219,Ceftriaxone sodium; Lidocaine,DB00281/DB01212,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
DC007181,Dexamethasone sodium phosphate; Lidocaine hydrochloride,DB00281/DB01234,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DC000109,Lidocaine; Tetracaine,DB00281/DCC0467,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C
DC002527,Lidocaine; Nitroglycerin,DB00281/DB00727,1,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C?[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O
DC000007,Ethinyl Estradiol; Etonogestrel,DB00294/DB00977,1,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]?[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
DC004658,Acetaminophen; Morphine,DB00295/DB00316,1,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O?CC(=O)NC1=CC=C(O)C=C1
DC007150,Morphine sulfate; Naltrexone hydrochloride,DB00295/DB00704,1,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O?[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
DC000279,Gabapentin; Morphine,DB00295/DB00996,1,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O?NCC1(CC(O)=O)CCCCC1
DC005651,Ketamine; Morphine,DB00295/DB01221,1,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O?CNC1(CCCCC1=O)C1=CC=CC=C1Cl
DC000018,Bupivacaine; Epinephrine,DB00297/DB00668,1,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C?CNC[C@H](O)C1=CC(O)=C(O)C=C1
DC004318,Bupivacaine; Hydromorphone,DB00297/DB00327,1,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C?[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
DC000356,Efavirenz; Tenofovir,DB00300/DB00625,1,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C?FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1
