DrugCombination_ID	Components_Name	Componets_ID
DC000408	Doxorubicin; Mitomycin	DCC0046/DCC0259
DC000409	Lamivudine; Nevirapine; Rifampin; Stavudine	DCC0030/DCC0161/DCC0179/DCC0280
DC000410	Aplidine; Cytarabine	DCC0256/DCC0394
DC000411	Clonidine; Dexmedetomidine	DCC0136/DCC0154
DC000412	ABT-737; Cisplatin	DCC0117/DCC0462
DC000413	ABT-737; Etoposide	DCC0191/DCC0462
DC000414	Didanosine; Efavirenz; Lamivudine; Rifampin	DCC0150/DCC0179/DCC0228/DCC0280
DC000415	Paclitaxel; Trichostatin	DCC0323/DCC0451
DC000416	Dexketoprofen; Tramadol	DCC0018/DCC0398
DC000417	Didanosine; Isoniazid; Lamivudine; Rifampin; Ritonavir; Saquinavir	DCC0114/DCC0179/DCC0228/DCC0242/DCC0280/DCC0324
DC000418	Colistin; Imipenem	DCC0200/DCC0350
DC000419	Bortezomib; Trastuzumab	DCC0008/DCC0016
DC000420	Ec107fabI; Triclosan	DCC0376/DCC0472
DC000421	Celecoxib; Emodin	DCC0105/DCC0442
DC000422	Imatinib; Vorinostat	DCC0148/DCC0361
DC000226	Gemifloxacin; Sulfamethoxazole; Trimethoprim	DCC0093/DCC0266/DCC0305
DC000227	Epirubicin; Trastuzumab	DCC0008/DCC0096
DC000228	Carboplatin; Rosiglitazone	DCC0082/DCC0245
DC000229	Doxorubicin; Trastuzumab	DCC0008/DCC0259
DC000230	Docetaxel; Trifluridine	DCC0088/DCC0329
DC000231	Trastuzumab; Vinorelbine	DCC0008/DCC0067
DC000232	Ifosfamide; Mesna	DCC0311/DCC0414
DC000233	Cyclophosphamide; Trastuzumab	DCC0008/DCC0123
DC000234	Sodium benzoate; Sodium phenylacetate	DCC0382/DCC0445
DC000235	Latanoprost; Timolol	DCC0072/DCC0164
DC000236	Carboplatin; Trastuzumab	DCC0008/DCC0245
DC000237	Sulfamethoxazole; Trimethoprim	DCC0093/DCC0266
DC000238	Brinzolamide; Timolol	DCC0072/DCC0314
DC000239	Lomeguatrib; Temozolomide	DCC0215/DCC0411
DC000240	Pyrimethamine; Sulfadoxine	DCC0023/DCC0339
DC000241	Artemisinin; Naphthoquine	DCC0454/DCC0455
DC000242	Irinotecan; Oxaliplatin	DCC0120/DCC0189
DC000243	Midostaurin; Rapamycin	DCC0223/DCC0386
DC000244	Cisplatin; Trabectedin	DCC0117/DCC0369
DC000245	Cyclopentolate; Phenylephrine	DCC0075/DCC0254
DC000246	Arsenic trioxide; Tanespimycin	DCC0308/DCC0456
DC000247	Imatinib; Rapamycin	DCC0148/DCC0223
DC000248	Carboplatin; Cetuximab; Paclitaxel	DCC0001/DCC0245/DCC0323
DC000249	Cisplatin; Topotecan	DCC0117/DCC0271
DC000250	Capecitabine; Docetaxel	DCC0295/DCC0329
DC000251	Fluorouracil; Leucovorin; Methotrexate	DCC0128/DCC0131/DCC0162
DC000252	Acetaminophen; Diclofenac	DCC0049/DCC0138
DC000253	Meropenem; Valproic Acid	DCC0048/DCC0188
DC000254	Cisplatin; Cyclophosphamide	DCC0117/DCC0123
DC000255	Dextromethorphan; Promethazine	DCC0116/DCC0287
DC000256	Diclofenac; Misoprostol	DCC0138/DCC0238
DC000257	Dexbrompheniramine; Pseudoephedrine	DCC0081/DCC0214
DC000258	Dextromethorphan; Guaifenesin	DCC0116/DCC0221
DC000259	Cytarabine; Tanespimycin	DCC0256/DCC0456
DC000260	Adalimumab; Methotrexate	DCC0007/DCC0131
DC000261	Azithromycin; Imipenem	DCC0024/DCC0350
DC000262	Fenretinide; Sodium butyrate	DCC0367/DCC0397
DC000263	Amphotericin B; Ravuconazole	DCC0170/DCC0405
DC000264	Amitriptyline; Perphenazine	DCC0053/DCC0213
DC000265	Eucalyptol; Zidovudine	DCC0111/DCC0366
DC000266	Aminophylline; Theophylline	DCC0039/DCC0322
DC000267	Amoxicillin; Clavulanate	DCC0190/DCC0285
DC000268	Doxorubicin; HPMA copolymer	DCC0259/DCC0473
DC000269	Amoxicillin; Clarithromycin; Lansoprazole	DCC0097/DCC0285/DCC0318
DC000270	Ciprofloxacin; Gatifloxacin	DCC0124/DCC0279
DC000271	Cephalexin; Kanamycin	DCC0133/DCC0309
DC000272	Etoposide; Tanespimycin	DCC0191/DCC0456
DC000273	Bevacizumab; Paclitaxel	DCC0012/DCC0323
DC000274	Indapamide; Perindopril	DCC0197/DCC0201
DC000275	Gefitinib; Irinotecan	DCC0050/DCC0189
DC000276	Fexofenadine; Probenecid	DCC0241/DCC0272
DC000277	Clofarabine; Cytarabine	DCC0153/DCC0256
DC000278	Erlotinib; Pemetrexed	DCC0122/DCC0158
DC000279	Gabapentin; Morphine	DCC0043/DCC0258
DC000280	Artemisinin; Methylene blue	DCC0452/DCC0454
DC000281	Cetuximab; Fluorouracil	DCC0001/DCC0128
DC000282	Amodiaquine; Artesunate	DCC0146/DCC0464
DC000283	Pioglitazone; Vildagliptin	DCC0303/DCC0421
DC000284	Amlodipine; Perindopril	DCC0073/DCC0197
DC000285	Dipyridamole; Prednisolone	DCC0216/DCC0251
DC000286	Ceftriaxone; VPR1020; Vancomycin	DCC0115/DCC0319/DCC0477
DC000287	Cycloserine; Epigallocatechin	DCC0034/DCC0365
DC000288	Dexamethasone; Lenalidomide	DCC0103/DCC0325
DC000289	Enalapril; Nitrendipine	DCC0137/DCC0283
DC000290	Cisplatin; Sabarubicin	DCC0117/DCC0415
DC000291	Artemether; Lumefantrine	DCC0372/DCC0374
DC000292	Amlodipine; Telmisartan	DCC0073/DCC0247
DC000293	Loratadine; Montelukast	DCC0098/DCC0099
DC000294	Enalapril; Lercanidipine	DCC0121/DCC0137
DC000295	Bortezomib; Vorinostat	DCC0016/DCC0361
DC000296	Bortezomib; Lonafarnib	DCC0016/DCC0412
DC000297	Tamoxifen; Trastuzumab	DCC0008/DCC0168
DC000298	CI-1040; Rapamycin	DCC0223/DCC0427
DC000299	Amoxicillin; Sodium lauryl sulfate	DCC0205/DCC0285
DC000300	Antazoline; Pheniramine	DCC0354/DCC0377
DC000301	Aspirin; Dipyridamole	DCC0240/DCC0251
DC000302	Atorvastatin; Proguanil	DCC0290/DCC0302
DC000303	Atropine; Diphenoxylate	DCC0135/DCC0291
DC000304	Atropine; Pralidoxime	DCC0135/DCC0183
DC000305	Bacitracin; Hydrocortisone; Neomycin; Polymyxin B Sulfate	DCC0151/DCC0184/DCC0193/DCC0257
DC000306	Doxorubicin; Trabectedin	DCC0259/DCC0369
DC000307	Bevacizumab; Carboplatin; Paclitaxel	DCC0012/DCC0245/DCC0323
DC000308	Cerivastatin; Gemfibrozil	DCC0092/DCC0328
DC000309	Cyclophosphamide; Doxorubicin; Prednisone; Rituximab; Vincristine	DCC0009/DCC0123/DCC0126/DCC0156/DCC0259
DC000310	Fluorouracil; Sorivudine	DCC0128/DCC0457
DC000311	Ritonavir; Saquinavir	DCC0114/DCC0324
DC000312	Heparin; Sodium caprate	DCC0296/DCC0379
DC000313	Benzoyl peroxide; Erythromycin	DCC0020/DCC0468
DC000314	Cyclosporine; Rosuvastatin	DCC0011/DCC0294
DC000315	Benzoyl peroxide; Clindamycin	DCC0313/DCC0468
DC000316	Ganciclovir; HSV thymidine kinase gene; Scopadulciol	DCC0262/DCC0393/DCC0474
DC000317	Bacitracin; Polymyxin B Sulfate	DCC0151/DCC0193
DC000318	Chlorpheniramine; Methamphetamine	DCC0298/DCC0347
DC000319	Bacitracin; Neomycin; Polymyxin B Sulfate	DCC0151/DCC0193/DCC0257
DC000322	Delavirdine; Nevirapine; Zidovudine	DCC0030/DCC0111/DCC0178
DC000323	Paclitaxel; Vitamin B12CN	DCC0013/DCC0323
DC000324	Gefitinib; PD98059	DCC0050/DCC0402
DC000325	Polymyxin B Sulfate; Sulfamethoxazole; Trimethoprim	DCC0093/DCC0193/DCC0266
DC000326	Dasatinib; Midostaurin	DCC0330/DCC0386
DC000327	Lamivudine; Tenofovir	DCC0045/DCC0179
DC000328	Cisplatin; Trastuzumab	DCC0008/DCC0117
DC000329	Glatiramer Acetate; Minocycline	DCC0268/DCC0370
DC000330	Miconazole; Polymyxin B Sulfate	DCC0193/DCC0297
DC000331	Imatinib; L744832	DCC0148/DCC0384
DC000332	Genistein; Sorafenib	DCC0079/DCC0355
DC000320	Ganciclovir; HSV thymidine kinase gene; Ponicidin	DCC0262/DCC0444/DCC0474
DC000321	Laropiprant; Niacin	DCC0152/DCC0448
DC000333	1,2,4-trioxolane; Artemether; Praziquantel	DCC0284/DCC0372/DCC0423
DC000334	Gefitinib; Taxane	DCC0050/DCC0400
DC000335	Capecitabine; Oxaliplatin	DCC0120/DCC0295
DC000336	Artesunate; Praziquantel; Tribendimidine	DCC0284/DCC0383/DCC0464
DC000337	NU6140; Paclitaxel	DCC0323/DCC0430
DC000338	Bupropion; Naltrexone	DCC0177/DCC0306
DC000339	Glimepiride; Metformin; Rosiglitazone	DCC0027/DCC0057/DCC0082
DC000340	Carboplatin; Sorafenib	DCC0079/DCC0245
DC000341	Cyclophosphamide; Paclitaxel	DCC0123/DCC0323
DC000342	Bevacizumab; Sunitinib	DCC0012/DCC0336
DC000343	Beclomethasone; Formoterol	DCC0077/DCC0255
DC000344	Azithromycin; Ceftazidime	DCC0024/DCC0091
DC000345	Bimatoprost; Timolol	DCC0072/DCC0230
DC000346	Tanespimycin; U0126	DCC0380/DCC0456
DC000347	ABT-737; Dexamethasone	DCC0325/DCC0462
DC000438	Gabapentin; Tiagabine	DCC0231/DCC0258
DC000439	Aliskiren; Irbesartan	DCC0270/DCC0331
DC000440	Mizoribine; Mycophenolate mofetil	DCC0173/DCC0440
DC000441	Lamotrigine; Topiramate	DCC0037/DCC0129
DC000442	Alagebrium; Ramipril	DCC0015/DCC0424
DC000443	Carbamazepine; Topiramate	DCC0037/DCC0132
DC000444	AEE788; Everolimus	DCC0348/DCC0437
DC000445	Topiramate; Valproic Acid	DCC0037/DCC0048
DC000446	Diphenhydramine; Theophylline	DCC0039/DCC0289
DC000447	Oxcarbazepine; Topiramate	DCC0037/DCC0192
DC000448	Levetiracetam; Topiramate	DCC0037/DCC0316
DC000449	Decitabine; Depsipeptide	DCC0334/DCC0390
DC000450	Adarotene; Gefitinib	DCC0050/DCC0436
DC000451	Fluorouracil; RPR-115135	DCC0128/DCC0409
DC000452	Carbamazepine; Lamotrigine	DCC0129/DCC0132
DC000453	Fusidic Acid; Rifampin	DCC0280/DCC0362
DC000454	Dipropofol; Vancomycin	DCC0115/DCC0418
DC000455	Tipifarnib; Zoledronate	DCC0080/DCC0410
DC001080	Exenatide; Metformin	DCC0057/DCC1560
DC001086	Abacavir; Atazanavir; Lamivudine; Ritonavir	DCC0114/DCC0179/DCC0281/DCC1489
DC001087	Anakinra; Dexamethasone	DCC0325/DCC1122
DC001090	Didanosine; Lopinavir; Nevirapine; Ritonavir; Zidovudine	DCC0030/DCC0111/DCC0114/DCC0228/DCC0351
DC001093	Dasatinib; Docetaxel; Prednisone	DCC0156/DCC0329/DCC0330
DC001095	Bevacizumab; Capecitabine; Cyclophosphamide; Docetaxel; Doxorubicin	DCC0012/DCC0123/DCC0259/DCC0295/DCC0329
DC001097	Fluticasone Propionate; Montelukast; Salmeterol	DCC0099/DCC0139/DCC0239
DC001100	Mycophenolate acid; Prednisone; Tacrolimus	DCC0156/DCC0218/DCC1477
DC001130	Cyclosporine; Mycophenolate mofetil; Prednisone	DCC0011/DCC0156/DCC0173
DC001156	Carboplatin; Cetuximab; Cisplatin; Fluorouracil	DCC0001/DCC0117/DCC0128/DCC0245
DC001170	Bisoprolol; Telmisartan	DCC0145/DCC0247
DC001172	Bevacizumab; Fluorouracil; Leucovorin; Oxaliplatin	DCC0012/DCC0120/DCC0128/DCC0162
DC001178	Cyclophosphamide; Fludarabine; Ibritumomab tiuxetan; Rituximab	DCC0009/DCC0123/DCC0288/DCC0640
DC001180	Solifenacin; Trospium chloride	DCC1204/DCC1595
DC001187	Brinzolamide; Latanoprost	DCC0164/DCC0314
DC001201	Busulfan; Fludarabine; Melphalan	DCC0278/DCC0288/DCC1471
DC001222	Bupivacaine; Epinephrine; Fentanyl	DCC0044/DCC0166/DCC0204
DC001228	Cyclophosphamide; Fludarabine; Rituximab	DCC0009/DCC0123/DCC0288
DC001236	Arsenic trioxide; Tretinoin	DCC0186/DCC0308
DC001240	Solifenacin; Tamsulosin	DCC1361/DCC1595
DC001246	Lamivudine; Nevirapine; Zidovudine	DCC0030/DCC0111/DCC0179
DC000456	Benazepril; Hydrochlorothiazide	DCC0127/DCC0260
DC000457	Aliskiren; Hydrochlorothiazide	DCC0260/DCC0331
DC000458	Amlodipine; Atorvastatin	DCC0073/DCC0290
DC000459	Fosinopril; Hydrochlorothiazide	DCC0109/DCC0260
DC000460	Guaifenesin; Pseudoephedrine	DCC0214/DCC0221
DC000461	Homatropine Methylbromide; Hydrocodone	DCC0182/DCC0243
DC000462	Amlodipine; Benazepril	DCC0073/DCC0127
DC000463	Amlodipine; Olmesartan	DCC0038/DCC0073
DC000464	Amiloride; Hydrochlorothiazide	DCC0142/DCC0260
DC000465	Bendroflumethiazide; Nadolol	DCC0090/DCC0317
DC000466	Cisplatin; Irinotecan	DCC0117/DCC0189
DC000467	2-methoxyestradiol; Doxorubicin	DCC0259/DCC0426
DC000468	2-methoxyestradiol; Cisplatin	DCC0117/DCC0426
DC000469	2-methoxyestradiol; Paclitaxel	DCC0323/DCC0426
DC000470	Albendazole; Prednisolone	DCC0118/DCC0216
DC000471	Everolimus; Tacrolimus	DCC0218/DCC0348
DC000472	Beta-lapachone; Isoniazid	DCC0242/DCC0432
DC000473	Letrozole; Norethindrone	DCC0180/DCC0264
DC000474	Paclitaxel; Toremifene	DCC0125/DCC0323
DC000475	Doxorubicin; Zoledronate	DCC0080/DCC0259
DC000476	Hydrochlorothiazide; Lisinopril	DCC0181/DCC0260
DC000477	Hydrochlorothiazide; Losartan	DCC0169/DCC0260
DC000478	Hydrochlorothiazide; Methyldopa	DCC0249/DCC0260
DC000479	Hydrochlorothiazide; Metoprolol	DCC0036/DCC0260
DC000480	Amlodipine; Valsartan	DCC0014/DCC0073
DC000481	Hydralazine; Isosorbide Dinitrate	DCC0227/DCC0337
DC000482	Hydrochlorothiazide; Irbesartan	DCC0260/DCC0270
DC000483	Hydrochlorothiazide; Olmesartan	DCC0038/DCC0260
DC000484	Hydrochlorothiazide; Propranolol	DCC0134/DCC0260
DC000485	Hydrochlorothiazide; Quinapril	DCC0226/DCC0260
DC000486	DispersinB; Triclosan	DCC0376/DCC0481
DC000487	Amikacin; Tigecycline	DCC0102/DCC0130
DC000488	Levofloxacin; Tigecycline	DCC0130/DCC0304
DC000489	Colistin; Tigecycline	DCC0130/DCC0200
DC000490	Imipenem; Tigecycline	DCC0130/DCC0350
DC000491	Doxorubicin; NGR-hTNF	DCC0259/DCC0478
DC000492	Amantadine; Oseltamivir; Ribavirin	DCC0019/DCC0203/DCC0234
DC000493	Ciprofloxacin; Trimethoprim	DCC0093/DCC0124
DC000494	Isoniazid; Linezolid; Rifampin	DCC0144/DCC0242/DCC0280
DC000495	Propofol; Remifentanil	DCC0206/DCC1432
DC000504	Ampicillin; Gentamicin	DCC0083/DCC0199
DC000509	Benzoyl peroxide; Clindamycin; Tazarotene	DCC0313/DCC0468/DCC1400
DC000514	Esomeprazole; Metronidazole; Tetracycline	DCC0187/DCC0235/DCC1377
DC000519	Clobetasol; Ketoconazole	DCC1474/DCC1478
DC000522	Capecitabine; Irinotecan	DCC0189/DCC0295
DC000531	Escitalopram; Lisdexamfetamine	DCC1524/DCC1551
DC000539	Epinephrine; Ketorolac; Morphine; Ropivacaine	DCC0043/DCC0166/DCC0920/DCC1238
DC000543	Mycophenolate mofetil; Rapamycin	DCC0173/DCC0223
DC000558	Amoxicillin; Clavulanate; Piperacillin; Tazobactam	DCC0052/DCC0190/DCC0285/DCC0352
DC000561	Nateglinide; Valsartan	DCC0014/DCC1374
DC000566	Cyclophosphamide; Docetaxel; Epirubicin; Lapatinib	DCC0096/DCC0123/DCC0329/DCC0332
DC000573	Amantadine; Interferon alfa-2b; Ribavirin	DCC0203/DCC0234/DCC1165
DC000581	Cyclophosphamide; Doxorubicin; Etoposide; Rituximab; Vincristine	DCC0009/DCC0123/DCC0126/DCC0191/DCC0259
DC000583	Enoxaparin; Warfarin	DCC0171/DCC1542
DC000594	Cetuximab; Gemcitabine	DCC0001/DCC0094
DC000601	Isoniazid; Rifapentine	DCC0242/DCC1534
DC000610	Rapamycin; Tirofiban	DCC0223/DCC1396
DC000611	Idarubicin; Mercaptopurine; Methotrexate; Tretinoin	DCC0131/DCC0186/DCC0273/DCC1525
DC000616	Cyclophosphamide; Doxorubicin; Paclitaxel; Trastuzumab	DCC0008/DCC0123/DCC0259/DCC0323
DC000623	Rosiglitazone; Saxagliptin	DCC0082/DCC1680
DC000629	Mycophenolate mofetil; Prednisone; Rituximab	DCC0009/DCC0156/DCC0173
DC000649	Lapatinib; Paclitaxel	DCC0323/DCC0332
DC000652	Cisplatin; Doxorubicin	DCC0117/DCC0259
DC000654	Cerebrolysin; Donepezil	DCC0573/DCC1414
DC000664	Atazanavir; Raltegravir	DCC0802/DCC1489
DC000690	Albendazole; Ivermectin; Praziquantel	DCC0118/DCC0284/DCC1330
DC000697	Risperidoene; Valproic Acid	DCC0048/DCC1376
DC000699	Bortezomib; Melphalan; Prednisone	DCC0016/DCC0156/DCC0278
DC000703	Dacarbazine; Temozolomide	DCC0215/DCC1417
DC000705	Midodrine; Octreotide	DCC1164/DCC1205
DC000713	Bevacizumab; Fluorouracil; Irinotecan; Leucovorin	DCC0012/DCC0128/DCC0162/DCC0189
DC000720	Norepinephrine; Terlipressin	DCC1259/DCC1614
DC000725	Capecitabine; Paclitaxel	DCC0295/DCC0323
DC000730	Conjugated Estrogen; Tolterodine	DCC0552/DCC1479
DC000743	Fluoxetine; Quetiapine; Venlafaxine	DCC0100/DCC1231/DCC1541
DC000747	Neratinib; Vinorelbine	DCC0067/DCC0904
DC000750	Lovaza; Simvastatin	DCC0157/DCC0859
DC000754	Cyclophosphamide; Doxorubicin; Neratinib; Paclitaxel; Trastuzumab	DCC0008/DCC0123/DCC0259/DCC0323/DCC0904
DC000755	Bevacizumab; Fluorouracil; Irinotecan	DCC0012/DCC0128/DCC0189
DC000756	Calcium carbonate; Cholecalciferol	DCC0887/DCC1705
DC000758	Etoposide; Ifosfamide; Pegfilgrastim; Rituximab; Sargramostim	DCC0009/DCC0191/DCC0311/DCC1120/DCC1121
DC000761	Insulin; Isophane insulin	DCC1124/DCC1749
DC000762	Atazanavir; Ritonavir; Telaprevir	DCC0114/DCC1489/DCC1658
DC000764	Albinterferon alfa-2b; Ribavirin	DCC0203/DCC0784
DC000766	Basiliximab; Cyclosporine; Mycophenolate mofetil	DCC0011/DCC0173/DCC1149
DC000770	Dapagliflozin; Metformin	DCC0057/DCC0779
DC000772	Cetuximab; Fluorouracil; Irinotecan; Leucovorin	DCC0001/DCC0128/DCC0162/DCC0189
DC000773	Fingolimod; Pegylated interferon beta	DCC0378/DCC0601
DC000775	Fluticasone Propionate; GSK2190915; Salmeterol	DCC0139/DCC0239/DCC0969
DC000778	Acetylcysteine; Deferoxamine	DCC1384/DCC1662
DC000779	Fulvestrant; Tipifarnib	DCC0410/DCC1450
DC000781	Pegylated interferon beta; Teriflunomide	DCC1733/DCC0601
DC000782	Oxycodone; Pregabalin	DCC0112/DCC1210
DC000794	Capecitabine; Sunitinib	DCC0295/DCC0336
DC000807	Epinephrine; Ketorolac; Ropivacaine	DCC0166/DCC0920/DCC1238
DC000813	Docetaxel; Vandetanib	DCC0329/DCC1657
DC000834	Cisplatin; Docetaxel; Pemetrexed	DCC0117/DCC0158/DCC0329
DC000854	Azacitidine; Tretinoin; Valproic Acid	DCC0048/DCC0186/DCC1443
DC000859	Arsenic trioxide; Cytarabine; Daunorubicin; Mercaptopurine; Methotrexate; Tretinoin	DCC0131/DCC0186/DCC0256/DCC0273/DCC0308/DCC1357
DC000863	Clobazam; Clonazepam; Tolterodine	DCC1252/DCC1479/DCC1488
DC000867	ABT-751; Pemetrexed	DCC0158/DCC0596
DC000875	Ethambutol; Moxifloxacin; Pyrazinamide; Rifampin	DCC0056/DCC0062/DCC0280/DCC1208
DC000890	Deferiprone; Deferoxamine	DCC1384/DCC1723
DC000891	Fluorouracil; Leucovorin; Oxaliplatin; Panitumumab	DCC0120/DCC0128/DCC0162/DCC1555
DC000898	Cyclophosphamide; Pixantrone; Prednisone; Rituximab; Vincristine	DCC0009/DCC0123/DCC0126/DCC0156/DCC0949
DC000901	Atorvastatin; Ezetimibe	DCC0250/DCC0290
DC000912	Docetaxel; Zibotentan	DCC0329/DCC0652
DC000919	Amphotericin B; Deferasirox	DCC0170/DCC1599
DC000922	Meropenem; Moxifloxacin	DCC0188/DCC1208
DC000926	Amodiaquine; Artesunate; Primaquine	DCC0146/DCC0464/DCC1493
DC000931	Lubiprostone; Polyethylene glycol	DCC0705/DCC1482
DC000947	Abacavir; Lamivudine; Lopinavir; Ritonavir	DCC0114/DCC0179/DCC0281/DCC0351
DC000951	Folic acid; Methotrexate; Methylprednisolone; Rituximab	DCC0009/DCC0131/DCC1183/DCC1454
DC000956	Alogliptin; Metformin; Pioglitazone	DCC0057/DCC0303/DCC0371
DC000966	Iplex; Somatokine	DCC1105/DCC1561
DC000967	Arformoterol; Tiotropium	DCC1559/DCC1584
DC000969	Abacavir; Atazanavir; Lamivudine	DCC0179/DCC0281/DCC1489
DC000971	Carboplatin; Cetuximab; Fluorouracil	DCC0001/DCC0128/DCC0245
DC000980	Glimepiride; Metformin; Sitagliptin	DCC0027/DCC0057/DCC0333
DC000988	Decitabine; Romiplostim	DCC0334/DCC0717
DC000995	Defibrotide; Melphalan; Prednisone; Thalidomide	DCC0156/DCC0277/DCC0278/DCC1649
DC000998	Aprepitant; Dexamethasone; Fosaprepitant; Ondansetron	DCC0325/DCC1351/DCC1434/DCC1702
DC001002	Avibactam; Ceftazidime; Metronidazole	DCC0091/DCC0235/DCC0547
DC001016	Glipizide; Metformin; Pioglitazone; Sitagliptin	DCC0057/DCC0286/DCC0303/DCC0333
DC001017	Cetuximab; Docetaxel	DCC0001/DCC0329
DC001019	Atazanavir; Emtricitabine; Ritonavir; Tenofovir	DCC0045/DCC0114/DCC0225/DCC1489
DC001030	Fluorouracil; Leucovorin	DCC0128/DCC0162
DC001041	Amiloride; Chlorthalidone	DCC0047/DCC0142
DC001044	Cyclophosphamide; Dexamethasone; Doxorubicin; Melphalan; Prednisone; Vincristine	DCC0123/DCC0126/DCC0156/DCC0259/DCC0278/DCC0325
DC001046	Abciximab; Reteplase	DCC1117/DCC1137
DC001054	Bevacizumab; Capecitabine	DCC0012/DCC0295
DC001057	Cetuximab; Fluorouracil; Leucovorin; Oxaliplatin	DCC0001/DCC0120/DCC0128/DCC0162
DC001058	Emtricitabine; Lopinavir; Ritonavir; Tenofovir	DCC0045/DCC0114/DCC0225/DCC0351
DC001070	Docetaxel; Trastuzumab	DCC0008/DCC0329
DC001072	Bendamustine; Bortezomib; Rituximab	DCC0009/DCC0016/DCC0628
DC001074	Interferon beta 1a; Methylprednisolone	DCC1140/DCC1454
